,tradeYMD,buildYear,gu,dong,aptName,jySize,floor,price,add1
0,20200107,2008,종로구, 사직동,광화문 풍림스페이스본,39.54,8,36000,9
1,20200117,2008,종로구, 사직동,광화문 풍림스페이스본,39.54,2,33000,9
2,20200102,2004,종로구, 내수동,경희궁의 아침 2단지,51.02,6,48000,71
3,20200114,2004,종로구, 내수동,경희궁의 아침 2단지,32.43,13,28500,71
4,20200115,2004,종로구, 내수동,광화문시대,34.9,12,27000,74
5,20200116,2004,종로구, 내수동,경희궁의 아침 4단지,28.24,7,24000,73
6,20200117,2004,종로구, 내수동,광화문시대,34.9,9,27100,74
7,20200118,2004,종로구, 내수동,광화문시대,73.78,15,63000,74
8,20200118,2004,종로구, 내수동,경희궁의 아침 2단지,57.8,14,52000,71
9,20200128,2004,종로구, 내수동,경희궁의 아침 3단지,37.5,14,29500,72
10,20200130,2004,종로구, 내수동,경희궁의 아침 4단지,40.03,6,36000,73
11,20200130,2004,종로구, 내수동,광화문시대,48.86,17,35500,74
12,20200131,2004,종로구, 내수동,경희궁의 아침 3단지,37.5,6,29300,72
13,20200108,2004,종로구, 수송동,두산위브파빌리온,37.42,6,29500,58
14,20200117,2004,종로구, 수송동,두산위브파빌리온,74.84,13,48000,58
15,20200103,2007,종로구, 종로1가,르메이에르종로타운1,36.23,11,29800,24
16,20200114,2007,종로구, 종로1가,르메이에르종로타운1,34.59,13,25500,24
17,20200116,2007,종로구, 종로1가,르메이에르종로타운1,36.23,6,29500,24
18,20200120,2007,종로구, 종로1가,르메이에르종로타운1,56.64,16,39900,24
19,20200128,2007,종로구, 종로1가,르메이에르종로타운1,36.23,10,31500,24
20,20200129,2007,종로구, 종로1가,르메이에르종로타운1,56.64,20,40000,24
21,20200127,2005,종로구, 경운동,운현궁 에스케이 허브,23.87,6,21400,89-4
22,20200118,2006,종로구, 인의동,효성주얼리시티,60.37,4,35000,48-2
23,20200104,2003,종로구, 효제동,반도 보라 아이비 타워,27.58,10,16400,45
24,20200108,2004,종로구, 숭인동,종로대우디오빌,29.65,12,18700,310
25,20200114,2012,종로구, 숭인동,삼전솔하임2차,21.12,2,10850,296-19
26,20200117,2017,종로구, 교북동,경희궁자이,25.91,4,32500,126
27,20200102,2003,종로구, 평창동,오피스텔 천지인,23.01,4,9600,289-5
0,20200131,1991,중구, 남대문로5가,	(171)	,41.47,10,16000,171
1,20200115,2004,중구, 을지로6가,타임캐슬 오피스텔,19.94,9,13500,23
2,20200107,2005,중구, 을지로5가,대성을지로오피스텔,25.49,12,16200,77-2
3,20200110,2018,중구, 저동2가,제이매크로 타워,19.35,9,22500,7-2
4,20200114,2016,중구, 신당동,신당역솔하임,20.69,4,20000,140-23
5,20200122,2006,중구, 신당동,디오트,46.27,8,45000,193-2
6,20200107,2014,중구, 흥인동,청계천 두산위브더제니스,46.23,7,33800,13-1
7,20200107,2014,중구, 흥인동,동대문 와이즈 캐슬,19.92,7,16300,119
8,20200113,2014,중구, 흥인동,청계천 두산위브더제니스,46.74,6,34300,13-1
9,20200122,2014,중구, 흥인동,동대문 와이즈 캐슬,19.92,3,15100,119
10,20200128,2014,중구, 흥인동,동대문 와이즈 캐슬,19.92,7,16450,119
11,20200130,2014,중구, 흥인동,청계천 두산위브더제니스,59.91,18,48000,13-1
12,20200107,2010,중구, 황학동,황학동 코아루,46.63,6,26500,882
13,20200109,2013,중구, 황학동,한양 I-Class,29.64,5,21700,787
14,20200110,2003,중구, 황학동,중앙시티빌,25.5,4,11300,805
15,20200110,2018,중구, 황학동,청계 블루카운티,66.86,9,42000,1720
16,20200103,2005,중구, 의주로1가,바비엥-2,29.48,5,22900,25-10
17,20200111,2003,중구, 의주로1가,바비엥-1,126.59,4,59600,32-2
18,20200117,2005,중구, 의주로1가,바비엥-2,80.31,12,47000,25-10
19,20200122,2005,중구, 의주로1가,바비엥-2,78.15,7,42500,25-10
20,20200123,2005,중구, 의주로1가,바비엥-2,80.31,4,44000,25-10
21,20200128,2005,중구, 의주로1가,바비엥-2,78.15,13,44000,25-10
22,20200106,2006,중구, 중림동,브라운스톤서울,30.99,6,22800,355
23,20200108,2006,중구, 중림동,브라운스톤서울,68.04,35,59000,355
24,20200110,2006,중구, 중림동,브라운스톤서울,30.99,4,23300,355
25,20200115,2006,중구, 중림동,브라운스톤서울,68.04,25,59000,355
26,20200120,2006,중구, 중림동,브라운스톤서울,62.82,17,56500,355
27,20200104,2004,중구, 만리동2가,KCC 파크타운,66.47,7,60000,11-1
28,20200113,2004,중구, 만리동2가,KCC 파크타운,66.47,10,61000,11-1
29,20200129,2004,중구, 만리동2가,KCC 파크타운,66.47,5,57800,11-1
0,20200130,2004,용산구, 갈월동,갈월동 에이트리움,30.97,19,23900,101-49
1,20200109,2020,용산구, 청파동3가,용산 다올 노블리움,27.58,14,29200,80-6
2,20200109,2020,용산구, 청파동3가,용산 다올 노블리움,37.47,5,37500,80-6
3,20200128,2020,용산구, 청파동3가,용산 다올 노블리움,18.09,4,20450,80-6
4,20200104,2004,용산구, 원효로1가,디아뜨 센트럴,25.5,7,17100,112-4
5,20200118,2004,용산구, 원효로1가,디아뜨 센트럴,25.5,15,16400,112-4
6,20200104,2012,용산구, 문배동,프라임펠리스,18.55,9,16000,24-8
7,20200107,2012,용산구, 문배동,프라임펠리스,18.55,10,16000,24-8
8,20200122,2010,용산구, 문배동,리첸시아 용산B,59.2,3,42500,40-31
9,20200131,2007,용산구, 문배동,이안용산프리미어,71.38,6,65000,3-3
10,20200131,2007,용산구, 문배동,용산씨제이나인파크,42.5,4,39500,24-6
11,20200111,2005,용산구, 한강로1가,용산파크자이,42.39,29,43000,50-1
12,20200111,2005,용산구, 한강로1가,용산파크자이,42.39,5,39800,50-1
13,20200114,2007,용산구, 한강로1가,대우 월드마크 용산,86.38,36,91000,64
14,20200116,2005,용산구, 한강로1가,용산파크자이,36.13,11,31000,50-1
15,20200117,2005,용산구, 한강로1가,용산파크자이,32.1,33,31700,50-1
16,20200118,2005,용산구, 한강로1가,용산파크자이,33.6,15,31000,50-1
17,20200122,2005,용산구, 한강로1가,용산파크자이,36.13,8,30900,50-1
18,20200104,2005,용산구, 한강로2가,한강로벽산메가트리움,29.55,6,24800,2-8
19,20200104,2005,용산구, 한강로2가,한강로벽산메가트리움,30.29,12,24500,2-8
20,20200109,2012,용산구, 한강로2가,아스테리움 용산,49.98,18,65000,419
