,tradeYMD,buildYear,gu,dong,aptName,jySize,floor,price,add1
0,20170125,2008,종로구, 사직동,광화문 풍림스페이스본,39.54,7,33000,9
1,20170103,2004,종로구, 내수동,용비어천가,37.56,9,28800,75
2,20170103,2004,종로구, 내수동,용비어천가,33,6,25800,75
3,20170120,2004,종로구, 내수동,용비어천가,37.56,10,28100,75
4,20170120,2004,종로구, 내수동,경희궁의 아침 2단지,32.43,11,28000,71
5,20170123,2004,종로구, 내수동,용비어천가,58.92,6,41500,75
6,20170131,2005,종로구, 신문로1가,광화문오피시아빌딩,43.83,18,38000,163
7,20170131,2005,종로구, 신문로1가,광화문오피시아빌딩,43.83,18,38000,163
8,20170118,2007,종로구, 종로1가,르메이에르종로타운1,36.23,14,30500,24
9,20170120,2007,종로구, 종로1가,르메이에르종로타운1,45.41,14,37000,24
10,20170113,2004,종로구, 낙원동,나스빌,28.69,3,15000,212
11,20170106,1991,종로구, 돈의동,낙원오피스텔,40.96,2,17300,39-2
12,20170114,2003,종로구, 효제동,반도 보라 아이비 타워,32.27,2,15800,45
13,20170113,2001,종로구, 연건동,대보마로니에텔,26.52,10,15000,206
14,20170124,2014,종로구, 연건동,이화에수풀,21.49,3,17500,195-10
15,20170125,1996,종로구, 창신동,금호팔레스,30.84,14,11500,327-2
16,20170126,1996,종로구, 창신동,금호팔레스,30.84,16,12000,327-2
17,20170106,2013,종로구, 숭인동,종로 중흥 S클래스,22.44,3,12500,202-3
18,20170111,2004,종로구, 숭인동,롯데캐슬 천지인,39.6,24,25000,76
19,20170116,2013,종로구, 숭인동,버넷하임1,24.65,9,13500,1421
20,20170123,2013,종로구, 숭인동,종로 중흥 S클래스,22.44,4,12000,202-3
21,20170125,1989,종로구, 구기동,요진오피스텔쉐레이,31.05,9,12000,110-1
22,20170120,2003,종로구, 평창동,오피스텔 천지인,23.4,3,9150,289-5
0,20170112,2016,중구, 충무로5가,충무로엘크루메트로시티2,37.07,7,31000,36-2
1,20170117,1999,중구, 광희동1가,광희동금호트윈 오피스텔,26.22,2,12000,89-1
2,20170125,1999,중구, 광희동1가,광희동금호트윈 오피스텔,42.56,14,15500,89-1
3,20170126,1999,중구, 광희동1가,광희동금호트윈 오피스텔,22.14,15,9700,89-1
4,20170106,2003,중구, 을지로5가,정건벨라지오오피스텔,21.49,13,11300,20-1
5,20170117,2003,중구, 을지로5가,정건벨라지오오피스텔,43.88,4,22800,20-1
6,20170120,2005,중구, 을지로5가,대성을지로오피스텔,25.49,8,17000,77-2
7,20170120,2004,중구, 을지로5가,삼성골드캐슬,20.18,6,12800,273-2
