,year,month,week,pct_de_강남구,pct_re_강남구,pct_de_강동구,pct_re_강동구,pct_de_송파구,pct_re_송파구,pct_de_양천구,pct_re_양천구,pct_de_중랑구,pct_re_중랑구,pct_de_강서구,pct_re_강서구,pct_de_동대문구,pct_re_동대문구,pct_de_서초구,pct_re_서초구,pct_de_구로구,pct_re_구로구,pct_de_금천구,pct_re_금천구,pct_de_성동구,pct_re_성동구,pct_de_영등포구,pct_re_영등포구,pct_de_강북구,pct_re_강북구,pct_de_도봉구,pct_re_도봉구,pct_de_노원구,pct_re_노원구,pct_de_성북구,pct_re_성북구,pct_de_마포구,pct_re_마포구,pct_de_은평구,pct_re_은평구,pct_de_관악구,pct_re_관악구,pct_de_용산구,pct_re_용산구,pct_de_동작구,pct_re_동작구,pct_de_종로구,pct_re_종로구,pct_de_중구,pct_re_중구,pct_de_서대문구,pct_re_서대문구,pct_de_광진구,pct_re_광진구,pct_de_동남권,pct_re_동남권,pct_de_서남권,pct_re_서남권,pct_de_동북권,pct_re_동북권,pct_de_서북권,pct_re_서북권,pct_de_도심권,pct_re_도심권
0,2013,9,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2013,9,36,0.022582490198977956,-0.005174715116742168,-0.15498252836322235,-0.06690112954073757,-0.17963484764231696,0.15198637629276068,0.15352680037080635,-0.06925604069520985,0.6439928980074969,-0.2453166815343445,0.023708001209177265,0.024719615472647893,0.0032689181867435746,0.08111111111111091,0.0015299551574534664,0.021602933193318297,-0.13865595937112252,0.1252434456928837,0.011236926476062559,-0.15391705069124417,0.23556823257078663,0.5301604869950185,-0.04036831295060772,0.19652810957158784,0.09868202429417816,0.39256678281068513,-0.11618348897839403,0.1425048657432777,-0.1097359228560646,0.006179519870330941,0.25399449320967227,-0.19670886075949368,-0.019801348650845707,0.0073545888152630745,-0.2147516559220014,0.5951581975071909,0.1909281623221788,-0.02187610619469027,-0.10043730503483872,-0.1664285714285716,-0.1347220414008592,-0.030572990483903606,-0.4066582385166456,0.08646616541353369,-0.19363162398440326,0.4084757834757835,0.4077889599014146,-0.1379703534777652,0.29373545320439254,-0.15629139072847686,-0.13081712598555195,0.016977589676150373,-0.021353463330874733,0.1357003750997341,0.0005684608744018771,0.09613133523120032,-0.0021668540927777258,0.10581203103141301,-0.13366526235158938,-0.04755773554056808
8,2013,9,37,0.515365701343728,-0.1696374335611237,0.03007163330892637,-0.40541987723651607,0.14310853918782795,-0.11411049879892621,-0.28688038403201843,0.44928361324603827,0.4553639570883432,-0.04361702127659561,-0.11724654611757535,0.2033057851239668,-0.19846227390646032,-0.10659707528095208,0.15651053608472565,-0.05520638695430602,-0.019730087978063637,0.14305684995340195,-0.2508157710996166,0.19462599854756713,-0.07533947835189447,0.24556962025316453,0.20678224116816235,-0.2805636896046855,-0.10099016462978183,-0.33669724770642184,-0.012816793084550637,-0.04717800289435592,0.10049780951023113,-0.030322065751872795,-0.18828223352932827,0.2877102936983176,0.3724253271437543,-0.2221875443325294,0.28878333858098393,-0.1388054094665665,-0.06271671693286685,0.1959983384104127,-0.0907785495206378,-0.011765869092347003,0.11980825777995596,0.15612244897959182,0.5812832446808511,-0.42675893886966554,0.9222398912249303,-0.35344049124074417,0.19720298204405795,0.013888888888889062,-0.16338538676554992,-0.022594752186588685,0.18734688482174588,-0.288229295911236,-0.02496886810387855,0.03878207745961193,0.03085679230389471,0.003525233935561145,0.35165121510623165,-0.15657248157248171,0.15744035376388288,-0.09831985065339155
15,2013,9,38,-0.22124197254293,0.2556314489173088,-0.18852098344130408,0.23081656411109241,0.022591946095724014,0.03545776462791794,0.015347872881044777,-0.2973526715910928,-0.2587055560407594,0.25181825960468873,-0.06627605532582836,-0.14202573742047386,0.1401738982091134,0.03263157894736879,-0.28452796607814757,0.04391572442633218,-0.42676755122940646,0.08993069710558466,-0.1541738783118093,0.23191489361702167,0.2203398522714226,-0.23065601345668618,-0.04605069204878676,0.25736453828542416,-0.15370957682559516,-0.21881051175656951,0.032423519556953107,-0.047522613743756104,0.2658374755445143,-0.12273157806044444,0.416311315461908,-0.2408227536659775,-0.2740795497621126,0.041111558257259206,-0.20815108476999244,0.25690492713393476,-0.10105193993243888,-0.10169404954456451,0.30143290751906315,0.03257184147629344,0.2280715496158816,-0.023487300186329274,-0.5037604044226561,0.676056338028169,-0.21712772876946218,0.03142458100558665,-0.4141356816699283,-0.452054794520548,-0.32393648249120266,0.329008202833706,-0.1029976056070836,0.26669590341553984,-0.030028367703620606,0.007404203280491739,0.07948547199790723,-0.11787717044203627,-0.29899607453656507,-0.030722172736592945,-0.06245630523392709,0.04216073781291185
22,2013,9,39,-0.05196460013392756,-0.01518518518518508,0.04385335898318443,-0.06630725091993273,-0.1667110612682916,0.11018759042150039,0.10038793546398095,0.17262430939226525,-0.21967050991099424,0.34620642515379396,0.16415632562851257,-0.21293147551837277,-0.007436452187261522,0.356349589570256,0.3433396206211512,0.07935836188584955,0.8224735298312158,-0.14073409136245785,0.028910226139881257,-0.157167530224525,0.00500630389679757,-0.09525511383942653,-0.2454869489634418,0.0033989519898030007,-0.128394827220083,0.8615944961554016,0.0683101519642686,-0.0024096385542166088,-0.11203292658722686,0.06940166552589555,-0.020174371548163483,-0.06536244261770086,0.10427964145584911,0.1708406233470321,-0.10183777403196892,-0.04588118374558303,0.020024637234832943,0.3217611159546645,-0.1972920469284628,-0.11871438568429482,0.1548812052004669,-0.24114821323960156,0.5535185470480495,0.41736694677871156,-0.24272797491935105,0.16461295418641386,1.1473665123248145,0.31190476190476213,0.40746672490566493,0.11023828227284627,-0.079401520934537,-0.013226957799706285,0.05136734869061943,-0.03416760552999254,-0.03734711878550101,0.14539138913434368,0.14433967035194173,0.13473426753879147,-0.1231294226451295,0.03291337896159363
29,2013,9,40,-0.09631658842010027,0.06095786255048474,0.09975056747147182,0.09769120378186691,-0.0027852412048202657,0.03898272735948116,-0.1241369946000146,0.13820795480892833,0.0402855284016459,-0.03168316831683171,0.32059773759899035,-0.21055817895629014,0.22141326230057112,-0.2733560494329451,-0.20320430577290705,0.019408251900108642,-0.10995118732393183,0.030586186883343247,0.6563488016318204,-0.10491803278688538,-0.2560569145307473,0.16120095837076964,-0.07249754724903823,-0.0632269531352102,0.7871338867329716,-0.3944746376811594,-0.15894538606402986,0.0514492753623188,-0.00296871513366348,0.01476022211004513,-0.05836343089769791,0.31165326577816943,-0.16484761815453852,0.12248855373013745,0.31592073720556835,0.044939528962444575,-0.269007348723182,-0.07490468714958554,-0.010079966212307556,0.2254151277662675,-0.2807412151885065,0.0886548913043479,-1.0,-1.0,0.4838921288629692,0.04973774642792561,-0.17604053243261253,0.3108397954132982,-0.12207548145721625,-0.043632075471697895,0.03628173204577312,0.1369901401141671,-0.09409956578403267,-0.04954174210006568,0.024307712686328253,0.0009896091044032662,-0.03504665271447471,0.09531632077246188,0.0794263781953175,0.13040139990000732
36,2013,10,41,-0.1436129001750075,0.008152017599935224,-0.18474575011941197,0.48440938545851386,0.18690972572431663,0.006837606837606813,-0.27936330004876075,-0.05117283950617302,-0.01494754178775859,-0.018404907975460016,-0.2157980350895311,0.40613496932515347,-0.33860330417673223,0.4678805237315877,0.004326408303401141,-0.020573634859348933,-0.06819280693271867,0.19526653297780916,-0.3866876019826976,0.20421245421245415,0.6616592571346618,-0.10782194379494414,0.26738567379916955,0.2487036401098901,-0.1475127925509604,0.6256544502617805,0.12357746746461484,-0.002986446129106257,-0.17956132338455377,0.08386599074278145,-0.24073597377396383,0.09022127052105611,0.41339696747754395,-0.3391439633682797,-0.19754016796481222,0.12528796739323034,0.2158915264361021,-0.24149184149184133,0.17361670597277779,-0.047809137689069026,0.047041464851590886,0.11762870514820611,inf,inf,0.17070646079530727,-0.06227679969926714,-0.3185222052505421,0.06607929515418465,-0.18188941585412544,0.007644882860665669,-0.03316301214600437,0.08892532682427312,-0.036820632133235276,0.09169970186671517,-0.10704877257437162,0.061142016068938654,0.03393308314002441,-0.15356169715842727,0.2249992587003864,-0.1050323931679863
43,2013,10,42,0.1723176171852676,-0.04178722942651003,0.02070441289507663,-0.11338245400930202,-0.250691842162839,0.003320128277683354,0.7641899194829194,-0.08790529618712561,0.45818669930867584,-0.07060185185185208,0.019219751907611604,-0.1543193717277488,0.19123703894070787,-0.2495934959349594,0.17261911970708033,-0.09055583713465121,-0.0037479793242457538,-0.14767699115044264,0.37693173750600617,0.23519826181423142,-0.2710491556603729,0.05586192217642827,-0.23508123035557182,-0.22923311451249073,0.28829942013705856,-0.16356107660455488,0.006696032262700546,0.026497695852534697,0.34816631002280896,-0.1864590747330963,0.0702511988318264,-0.09630987541161662,-0.04850218283687491,0.14796065357863109,-0.2275151723232588,-0.028188976377952812,0.16505368090645156,0.09891415693505445,-0.25704589605782246,0.06475929415795778,-0.06302669137901906,-0.03537294314710837,0.21587656354154405,-0.06875834445927897,-0.5494523037626486,0.21193291908866185,0.19323724217825267,-0.21287878787878778,-0.006380435252264838,-0.06975036710719529,0.02536866081569733,-0.05433491686460867,0.05455888897597716,-0.09652994170641183,0.13020293921992865,-0.09546568738532124,0.08103267061734831,-0.005513162608886235,-0.3410208895331793,0.11940625914009972
50,2013,10,43,-0.07797268274033864,0.06053118993534867,-0.013828706497010734,-0.11315335641394697,-0.1300292879758752,-0.26046868858784,-0.10125583701875818,-0.14620797498045324,-0.443151086754332,-0.09090909090909083,-0.17988141990832962,0.035162021077514094,0.2786888330016517,-0.027724240177909865,0.26168423255047,0.07441416098298848,0.01635458901584963,-0.09691542288557198,-0.1845538490383264,-0.013192612137202908,0.07108566794425908,-0.10009800887238196,0.16142062840225946,0.04144612004394288,-0.001099879537003079,-0.3811881188118812,0.08712754269606893,-0.08264462809917361,0.11309766256088949,0.03254916401366659,-0.0903501187121577,0.04808414725770094,-0.1319957997360387,-0.19945504087193455,0.3875350402925519,-0.513087531663383,-0.07423281580290142,0.25496849248666953,0.12975873241416735,-0.07254034357105665,0.26225445978680617,0.012675271612963002,-0.1481690504216585,0.27885304659498167,0.8149466304090309,-0.022204599524187296,-0.03986418511066392,-0.11357074109720877,0.4509323806592891,-0.16702082447938815,-0.14050252346130987,-0.062118580428439096,0.033591302500929565,-0.06307156381649848,0.06281465478497217,-0.050761023617343914,-0.12319900105133796,-0.2636399840700916,0.2667600924660638,-0.006415319172521139
57,2013,10,44,0.14047551314031947,-0.051801976433865304,0.2647474283965263,0.2360850558866392,0.32142931650519424,0.04168344536340052,0.012649550888308658,0.22997835497835495,0.372207161486773,0.03047945205479463,0.1072868067979933,0.0790021408182684,-0.18215716201985732,0.11019424308536907,-0.2133202561098001,-0.04973146544098739,0.013616840201593261,0.14168188209616162,-0.09983522063190953,-0.24197860962566864,-0.06508565052834248,0.20011300499105356,0.15463475118652648,0.03156301596037436,-0.31226881863941425,0.7190303030303029,0.29166546074878696,-0.11622148464253745,-0.27309667556331274,0.15396299364816368,0.5549320531382558,-0.15870967741935482,0.24235128213459034,0.16478203867584407,0.08688570415621277,0.9745905587668591,0.02682584663922105,-0.27074411809159127,-0.2735639352157724,0.13731302444363358,-0.4706729024761047,0.2217459080280597,-0.5231064334570051,0.017937219730941978,-0.08003740535307813,0.17961929297266366,-0.1753463301596897,0.6433224755700324,0.2149779615313021,-0.27988338192419804,0.24091233495564768,0.07417102996846436,-0.04119288926194509,0.06628596202498094,-0.020784291855577952,0.06799412673027017,0.19303692682225448,0.41162211233871626,-0.17581046400349298,0.14357324147933315
