,year,month,pct_de_마포구,pct_de_영등포구,pct_de_관악구,pct_de_송파구,pct_de_구로구,pct_de_중구,pct_de_양천구,pct_de_강서구,pct_de_금천구,pct_de_강북구,pct_de_강동구,pct_de_도봉구,pct_de_광진구,pct_de_서초구,pct_de_서대문구,pct_de_노원구,pct_de_강남구,pct_de_성동구,pct_de_은평구,pct_de_중랑구,pct_de_성북구,pct_de_동대문구,pct_de_동작구,pct_de_종로구,pct_de_용산구,pct_de_서북권,pct_de_서남권,pct_de_동남권,pct_de_도심권,pct_de_동북권
0,2013,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2013,10,-0.01977772423238877,0.06275039932005688,-0.005185476442881365,-0.0981842642396995,0.016851600458524185,-0.001052780902007333,-0.019798788309914217,-0.02756110040048476,0.00841978978985547,-0.040408699863920594,0.010995328856604036,-0.05255738313461733,-0.04181048384329822,0.06592395428631104,-0.05613034501107328,0.019122778598956947,-0.017919471220956606,0.050760884309369425,-0.009372039052399472,0.20485508056334156,-0.30523887551377227,0.08431561712887503,-0.29926453973599243,0.02776461669667385,-0.19378381246468157,-0.045154453672055395,0.010531601188817463,-0.0099124931583916,-0.0461395181299632,0.015176640150868836
61,2013,11,-0.03745247587127576,0.10876160079766062,0.1794706193373352,0.09138171764131808,-0.02322567004846221,-0.004871496034132616,0.07557575588497212,0.08009618014044562,-0.16198118888147928,0.2742699194808318,0.00414733408652368,-0.03552588004272539,-0.04109646118870092,-0.03564131399969872,0.10826663543511139,0.0275921102955905,0.21486633243771847,0.13007169928794826,0.01646330522160433,0.05655476314721408,0.3815411534670947,0.001618643905868078,0.09558542065407338,0.02477243390944306,-0.05598595293611108,0.013060909458604497,0.0690457094538437,0.10962998750877584,-0.02555742783012971,0.06297600872034992
91,2013,12,0.08611955521967518,-0.02564680661561336,-0.0002899780157697984,0.09405534818244221,-0.045010640382296296,-0.08533894173188761,0.010596550130030469,-0.028181727210677132,0.32135072789382413,0.12022785574166295,-0.09955331692432168,0.15059738413214263,0.17185498807771493,-0.06013416605063837,-0.018412476296200242,-0.03605685725426244,0.015823946787632437,-0.15288592716969251,0.06402232305846733,0.04925805601896549,0.21507134595810307,-0.07274776737519295,0.3276651741463581,0.05227612243312185,0.14062229548732752,0.02418263211425642,-0.007387064226433759,0.005713215371387692,0.0017302512994148422,0.02503556180494293
122,2014,1,-0.14306411884215242,0.10817563054479296,-0.03651392225160188,0.10928527120018683,0.17362674935293398,0.1197524761538602,-0.08606880659924665,0.13230748948702886,-0.11265083364805417,-0.16130661727563567,0.007715356987288313,-0.10048798633133871,-0.18759225127526646,0.11530128132556827,0.03917145909815645,-0.02617968066250409,0.348486194056989,0.032127356665233586,0.012348068903263343,-0.14540438640857056,-0.12480915452325181,0.2329951627110307,-0.2497481584458815,-0.050468036909956826,0.08292385067853703,-0.044620176164901104,0.05140545478519365,0.1130063112324382,0.08192686692839413,-0.026231219327530364
153,2014,2,0.10886506130191398,-0.016209144503183226,-0.01290709774863763,-0.08388277003556832,-0.04882562291607151,-0.1430685226023516,0.024801030314469008,0.005331321183103199,-0.013694132650341584,0.10584220036137326,0.10150363376249794,0.08894496136256103,0.16837002589817285,-0.05432476973760325,-0.034532530746700596,-0.0039106936347973464,-0.24183440527971778,-0.006572980935104278,0.025838772297998913,-0.04741408685110049,-0.040225830585927214,-0.04823517977798708,0.05696007472882214,0.036415941622228276,0.11074272864325652,0.07441431205808002,-0.018429562968876878,-0.09264876618203344,-0.06323979819776437,0.008816227192154136
181,2014,3,-0.032247848590014505,0.005851819325589425,0.07307593916580157,-0.05521900096176913,0.027345676260925433,-0.04702078310896407,-0.05240213812093231,-0.02499269259160819,0.03780097034819052,0.031504544739358264,0.02635739132365922,-0.030803443559417443,-0.059967458130879336,0.05517789992777966,0.10009991972285515,0.042753082353796046,-0.0015450565536980765,0.06065514008957407,0.08503795979015782,0.04878755930416445,-0.03371790491708526,-0.060326597222774114,0.09830595598281144,-0.056375822403850195,-0.15239662101796836,0.011702331137473987,0.009590030794976556,-0.0007297301376628651,-0.04684088507454709,-0.027208411794791165
212,2014,4,-0.03616657888293329,-0.032850228357859335,-0.061956554943666586,0.017736151982181703,-0.008401353557959235,0.09653993753444001,-0.1220840818510881,0.008249734442391077,-0.07281462618133516,0.0005280078849179137,-0.015195237397294448,-0.06829870205768762,0.03715479549199774,0.049436556347799865,-0.06506581395473054,-0.07411698267776079,-0.1432353604706348,0.03795870710522564,-0.1623786486598483,0.03311768274950899,-0.16408954646552543,0.040705578445861645,0.043480759835617944,0.09956809569465341,0.22089517329364217,-0.07532875052230836,-0.03562849289309633,-0.040093662075021186,0.1108453789523598,0.010166990894798111
242,2014,5,0.10413959953404639,-0.0003514747741872881,-0.011784628909894068,0.12270950688983873,0.0018270128747315262,0.020757563558011505,0.2447135037666186,0.1484715258317859,0.07930777889843621,0.10298049747276328,0.09387594435697078,0.08736490734365177,0.03425556447550693,0.0056931081690552165,0.16129274832026996,0.052800478615442126,-0.003654696414426395,-0.016147296872232486,0.010650351967194993,0.030939394834495815,0.19601117518784372,0.09327463543099701,-0.01544832198921986,0.02715991303712406,-0.13243943175307005,0.15953249956728133,0.04801971505766267,0.07676800254519622,-0.020252132164234382,0.04409399048586837
273,2014,6,-0.03529399131461519,-0.013542834730016162,-0.028497717394438515,-0.07957167486401329,-0.024114279110364123,-0.16238718517376982,-0.14802605002634506,-0.006260119402393793,0.11487751709745653,0.003399706014475923,-0.13094951188994508,-0.01693518650534176,0.05056964596054092,-0.1679908200868272,0.05317392746793281,0.11265531232778025,0.10922127705894336,-0.04806509185450869,0.012658344763250451,-0.14745206147457202,-0.051317889442375475,-0.07506526383213319,-0.07472921374581154,-0.11395249391741036,-0.0842671366799026,-0.026757925555790374,-0.02763102772531778,-0.00904992839562424,-0.12419180980098199,-0.0353865663850822
