,year,month,pct_송파구,pct_노원구,pct_성북구,pct_영등포구,pct_강서구,pct_강북구,pct_동대문구,pct_마포구,pct_구로구,pct_관악구,pct_양천구,pct_도봉구,pct_서초구,pct_은평구,pct_성동구,pct_동작구,pct_중구,pct_종로구,pct_중랑구,pct_서대문구,pct_강남구,pct_금천구,pct_용산구,pct_광진구,pct_강동구,pct_동남권,pct_동북권,pct_서남권,pct_서북권,pct_도심권
0,2013,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2013,10,0.010930057685621053,0.010943554768330976,-0.0005214984789679855,0.04656512706031379,0.07784296116177036,0.015081579729874894,0.025684213444837622,-0.0018415378473111144,-0.04364974140746358,-0.004560976120834281,-0.012811384997129416,-0.0011549682749509849,0.005364281990493103,0.015855170070731006,0.02596879559442633,-0.014249013546890121,0.002097655056407577,-0.00424709283042124,0.0011933171591747005,-0.013755479814793192,-0.00017767639193888574,0.07396101827784718,0.00019992389063516747,-0.009785567444398513,-0.042023791220377804,0.004529875768303215,0.02066452377282979,0.01631828988825168,-0.002956907116365093,-0.002625688184821562
61,2013,11,0.03265847353019402,-0.005290302521068324,-0.0021409110087929895,-0.03447684279022223,-0.05100967238875542,-0.021677730653619554,-0.010665938618372839,-0.028126544418336508,0.016265374307979252,0.015749573172942455,-0.023450419795101873,0.009542511023260536,0.014808221964676571,-0.055911693699502885,-0.037076552239060145,0.014667504396379094,0.040547000377906706,0.007957339502107974,-0.024088700404125363,0.0028094678500449888,-0.009546375456557454,-0.015749558851050227,0.03853594355829926,0.005647711708973047,0.015816637486336216,0.03939643732235054,-0.010798587955435868,-0.002927538330132373,-0.02509410595807604,0.04605798170782238
91,2013,12,-0.01605472943315478,0.03274359356510814,-0.0008027844780824633,0.06368616181890441,-0.036602254550157864,-0.01994246703034208,-0.021089336282243187,0.022092757811357666,0.0128350900594707,-0.023037187661596015,0.02222997906021673,0.0006088250539884044,0.017819237592799686,0.08108458897573012,0.05872580949937034,-0.028918123912340832,-0.01579721419364366,-0.007929419425271811,-0.005924888188926891,0.01013457269632978,0.06525634068047004,0.47460209992919333,0.03915977166030071,0.018278420681128615,0.04766456328672053,0.03646046758164556,0.021762241353600942,0.023862250395913387,0.041920658213983275,0.023545181627859346
122,2014,1,-0.002950504180727953,-0.01920236823757049,0.019568722811117656,-0.030408296794758316,0.016042679274028915,0.06046523460571063,0.08022457366445068,0.007952756545593687,-0.0007907313300252738,0.039755043175334626,0.027321411090581282,0.018276217502306347,0.033479284888615846,-0.054230997224162136,-0.03759780056796769,0.009050605057902006,-0.012332323669407508,0.030787582231506905,0.04265908849630673,0.01737944610400466,-0.03166638615100115,-0.33093621133193163,-0.021130694162161845,-0.006052877467854767,-0.017005196498990127,-0.014461359369830507,0.015750334237646157,-0.01357877488330439,-0.017638727966497347,-0.015828640541003636
153,2014,2,-0.020611166465493658,0.006520600973411339,-0.03007161668520375,0.191011029888434,0.038293000143263756,-0.0002563774799073659,-0.06391364161111923,0.008179536426975664,-0.02608315006597295,-0.014214537270817784,-0.008123743240728065,-0.006361736996821077,-0.02064648313140882,0.023634743377204837,0.04676935444542529,0.007901392128984552,-0.031719605695509134,-0.05257664378427718,0.02050141565662833,0.018168082172970168,0.009726045344045087,-0.0009164447759271166,0.29384835485295446,0.06410530891946875,0.0042069966785232005,-0.034788507367438104,-0.0024316704043277904,0.041871816994188515,0.037226048572295944,0.18605181998821885
181,2014,3,-0.03311140192171702,-0.019306315227401227,0.0354060919135093,-0.16066224397964102,-0.03380873546179042,-0.06608626343004376,0.012222029447829907,-0.010557763139646958,-0.006980665732920444,-0.0009996762055169972,-0.0442343959950563,-0.0007625622764049211,-0.01792304068156525,-0.006860278168857925,-0.0272951095064351,-0.014064200141057581,-0.01960052326404449,0.026489870489998513,-0.03299175625983897,-0.04716285509161722,-0.037882353128027235,0.004575241679231734,-0.22707536326444122,-0.03842043511389981,-0.026530413202050962,-0.03825932425791989,-0.014512922968999087,-0.06857953424130336,-0.05286696749381792,-0.1548610319195317
212,2014,4,0.03139449248162118,0.01043303254663508,0.009615509688159385,0.008823366424997703,0.008997575017312798,0.05064418931353187,0.017081172841602266,-0.015470578582585603,0.06096241877556263,-0.0069068249690747985,0.0038108128169982436,-0.002221957318398804,-0.013107718233326238,-0.0027194000314405553,-0.01185774336729506,0.016617184050554457,0.028878622749248573,0.0987873449586405,0.002676658779450003,0.02451013619997755,0.00985687921319367,-0.0037979461001951265,0.14766740168604553,-0.035069098928041,0.025217451061398943,0.04028694719276604,0.00897505802357812,0.015897404295114992,0.0077052138841102735,0.11764716291490074
242,2014,5,-0.03465255168630388,-0.0013572539642937587,0.012204536450380443,-0.029482169951593584,-0.033108139223831046,0.03229075681342386,0.04331694182833412,0.011296376593172397,-0.01613398062933069,0.043583060260458995,0.006307259825888423,-0.03274492081767766,0.01920594736628134,0.027567300861843558,-0.019355486119890353,-0.021426245762982354,-0.03764515776582933,-0.09762483452662385,-0.00956889450865095,0.04148575593362569,-0.04018066689642252,0.0032845461564565692,-0.1730246437437306,0.04633210339165861,-0.004275561138869399,-0.0120346968822298,-0.005056170749175193,-0.00013273962701831898,0.020349379650944854,-0.15103239759199294
273,2014,6,0.011848017089659324,-0.007751232906109462,-0.005576856940166075,0.015735093130776923,0.009453210390216737,-0.027175783000676468,-0.016238451101784346,-0.01879599898218942,-0.007727192158293983,0.08861275535908453,0.014391901945794983,0.017134325997020472,0.04552229225227955,-0.03709170096570891,-0.017147146536168334,0.01661435164866698,0.01530345079797657,0.06932817570135796,-0.019035302567940948,-0.018688922657388862,0.0439196347659776,-0.010576566762999229,0.007751501913235481,-0.04152507401429639,0.004938674385259745,0.018904186461180528,-0.011007357463728829,0.014712992150460957,-0.021315285657447558,0.03177967611865329
303,2014,7,0.002808096352313827,0.0064335321149249225,-0.004458292077178405,0.04220610373974076,0.014565909236454955,0.006916622613635015,-0.012717437930823139,0.06120753678306423,0.05809531583079286,-0.10582646262659356,-0.00023849252177388092,0.02203118243465374,0.0060448038651965685,0.025291276054466127,0.03435153391690937,0.005614391577343669,0.036131510288943236,0.0749754721113638,0.008636377479051438,0.043174624222849234,0.02081406684341025,0.05029813721671794,0.005795228769059468,0.04775187488365784,0.017532037159326608,0.01569738427629752,0.0004610333270382849,0.0020531591938328653,0.04054389724856433,0.030629359533653755
334,2014,8,0.018207019374007816,0.02183465784241201,-0.017645576551013398,-0.02127501350195493,0.055371444020167804,-0.008006734284387584,0.0648943039199934,0.004293057088093244,-0.05021988618762274,0.0053326418462908975,0.04592920315442228,-0.0005883876874698268,0.005949924062565559,0.0068912732151227285,0.06335347416000192,0.01498396247746836,0.0018950668025172757,-0.07273353406847427,0.037041953741450806,0.003989175682279189,0.02954798884382126,0.10617082194287941,0.0527310042776874,0.003850525244853298,-0.016852884499851672,0.011793124829581725,0.03424269965552784,0.0071492545231448545,0.027745202655565127,0.007611789657471002
365,2014,9,0.006844520583293434,-0.0031181656247974976,0.0005848965103214532,0.024778920440675423,-0.03644113533416016,0.032469157345333066,-0.041692418537407794,-0.010551645704415025,-0.0007556772213117569,-0.01898173575667239,0.06252429192093212,0.014157597648460252,0.0015790597718452482,-0.007193644637824459,-0.0198655366630085,0.007391549232653061,-0.024599427861155876,-0.03310133561738127,0.0037908296372333172,0.015346613580039303,-0.02451802453404206,0.2141140589926811,-0.018396712630982748,-0.009813060839448329,0.012849939439649072,-0.0015036762192373043,-0.009224879261066743,0.031343494813623085,-0.01383338860127159,-0.02464534134868468
395,2014,10,-0.003296188577885495,0.008509107170423968,0.0235196802031441,0.044821614386636455,0.01884649881427336,-0.006306778930493917,0.002744527705685895,-0.022412611617496414,-0.01641563207596297,0.03916195744376916,-0.09340167101457209,-0.0155209855864068,-0.0035176100917976294,0.032662053639483046,0.014249799589263423,-0.024543122873158407,0.007876560020668055,0.06552595390157667,-0.009535831960706953,0.06448883984511089,-0.019847610332178744,-0.10871890601667467,0.04775329354594948,0.0465241757611643,-0.01806345085329708,-0.009907029247006371,0.01748185818688741,-0.02055793845080056,0.017044696604822995,0.024914732571410303
426,2014,11,-0.07391145462457493,0.012528726026964865,-0.022442143605889253,-0.0235256213276418,0.0006945966715627971,-0.039966599555445015,-0.0003249014901776093,0.009783903629445367,-0.002549637309874231,0.0019745139119542454,-0.040155368921721,0.020371015909884882,-0.03414595159126965,0.08978662850106178,-0.00874707522890883,0.00528434887631124,-0.027032514660319973,-0.043775168753994564,0.03738497292368259,-0.05505313184589333,0.014145406653565118,0.04828155576666315,-0.04067385186578032,0.005863680609134558,-0.00799186379232708,-0.03531566498150307,0.0138381902683955,-0.012128377360630327,0.00798578604064315,-0.03644725495757506
456,2014,12,0.05100035491146149,0.009481147680606483,0.04160336482431237,0.051786529232721756,0.0022488236063289424,0.011818376897565042,0.0052685204034179645,0.01910643992182237,0.0422217054942684,0.02675605580185758,0.0006384903088632043,-0.011876558942840454,0.036347921394059624,0.006881027269444617,0.01250679968215529,0.0018250435694520117,0.05773114648356237,0.037796462556639376,-0.00533758146565666,-0.013418039279135763,0.02655512976016272,-0.06771660947240876,-0.012247993441881766,-0.01024266149449371,0.09946190521256626,0.029581699738163714,0.0025945667662370386,0.020647859622475506,0.02290245233049193,0.02105583225073926
487,2015,1,0.004325744540862875,-0.006597172634361992,-0.017497045643998566,-0.06597364963784436,-0.017325198734572722,0.07589824682408541,-0.0035279691222266374,0.0015466948469049502,-0.026652430905786395,-0.011552990700983368,-0.0010739151619821863,0.009140559268558057,0.02403482735627649,-0.06801161924917642,-0.027536006388152012,0.014369147198883603,0.02900360060227425,-0.08902617174437166,-0.005565330323422879,0.011872483740652973,0.010199627318219662,0.1703424466706296,0.10597529085884894,0.001531041423542323,-0.06760428861793366,-0.014898361120529113,-0.00864866185949864,-0.01343252121767391,-0.0175082520569515,0.05443607324685207
518,2015,2,0.006871783658417563,0.004570349590963474,0.024936582023142417,-0.0330408005294518,0.029288813587349916,0.009689183460384942,-0.023698893565036627,0.025941562835500642,0.020893549307363646,-0.00915960594897991,0.03169779290117236,0.05284417737846936,-0.013022131368107814,-0.012734842948637914,0.004781244261385487,0.0033408056563779542,-0.025399309529388847,0.0677770326343019,-0.013904867119450048,-0.007387540415607408,0.017664041142840592,0.014032997968919325,-0.022586489752147165,-0.016555934116376014,0.02755804690040664,0.017107160702195312,0.0023790954793783126,0.010443742093244834,0.0013533744888840626,-0.006619951580659755
546,2015,3,0.016862686083116696,0.0067760965417775765,-0.0014860656925088644,0.040936595745279414,-0.011793365849595006,-0.006862374863571663,0.007603600304469049,-0.013733246285595135,-0.015760772899174325,0.025933979905103488,0.025385102607026422,-0.031585264302123495,0.037644328796822224,0.0032030927992481306,0.03255393085056202,-0.0001677848126321324,0.008342094598836836,0.05447542675731332,0.0029411349004022647,-0.004220295980358779,0.019022283456214373,-0.14957497032669986,-0.02318614975008415,0.010892570661766632,0.021805483608762888,0.034219910979431445,0.009866348640863887,0.0014694273115640755,-0.0016873987092730358,0.001741858366126392
577,2015,4,0.015508675017887441,0.006192273563329076,0.008751706166053363,0.022859656701406106,0.043340946217225396,0.03522484266792758,0.031254117285612226,0.0022664238738183684,0.009431398609538455,-0.014174490560197262,0.0010593508384677541,-0.006810237703793964,-0.01860291011713011,0.017634755715791206,0.08394217664092185,0.007044093882234259,-0.0024561590055180993,-0.051617451940462744,0.013713654889129234,0.014330126303455426,0.014736446303451167,-0.09630661389796247,0.02329513459562005,-0.025884631189155738,0.030144488133092562,0.024030133443262214,0.022058282863113288,0.012702021082689141,0.009090318545237785,0.022935681125267893
