,year,month,week,pct_de_강남구,pct_de_강동구,pct_de_송파구,pct_de_양천구,pct_de_중랑구,pct_de_동대문구,pct_de_강서구,pct_de_성동구,pct_de_금천구,pct_de_광진구,pct_de_구로구,pct_de_서초구,pct_de_영등포구,pct_de_서대문구,pct_de_강북구,pct_de_노원구,pct_de_도봉구,pct_de_성북구,pct_de_은평구,pct_de_마포구,pct_de_관악구,pct_de_동작구,pct_de_중구,pct_de_용산구,pct_de_종로구,pct_de_동남권,pct_de_서남권,pct_de_동북권,pct_de_서북권,pct_de_도심권
0,2013,9,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2013,9,36,0.025859379397234816,-0.036930298508756065,-0.008652794798023056,-0.021964775959484983,0.006331519041243849,0.0575016611803163,0.011743233246446882,0.06585143645771163,-0.06347045356906833,0.015272075435136534,0.04374074691580532,0.026996821952457006,0.004048904948222409,-0.043711115228065256,-0.040667371962746834,0.008900169615498221,-0.0035158583592125314,-0.025113348746915287,0.024677672575730725,-0.0697541822438571,0.054121154192133814,0.030058140042857007,-0.007399541956328748,-0.03759821451223433,0.22432100793727594,0.012585018263085335,0.013012706824993447,0.011482793627533683,-0.0380667731436265,0.002403147781553372
8,2013,9,37,0.006284369773187359,-0.12102400888818465,-0.005786627087789542,0.035561724215416035,0.04113775799781938,-0.07425044499898381,-0.02841048380700939,-0.049796113122220764,-0.021646853156153112,-0.04758932312613007,-0.07067202848859866,-0.01918868986862099,-0.08349029478254544,0.028482083564874916,-0.04482824873553026,-0.019534915171920075,0.0025856663792160894,0.019818780144831294,-0.08730763044931156,0.05519089548406919,-0.16385267105940649,-0.0075956696850312255,-0.04759390042730782,0.03801019322485599,-0.15577685724275703,-0.08739506382421136,-0.05060282531778415,-0.018612809253093165,0.022695364255126416,-0.018044909733773373
15,2013,9,38,0.014991308765468725,-0.020671920954480116,-0.03532092357747307,0.02779980447077879,0.002810000169541027,0.019650065296889396,-0.015922542875854373,-0.008277771346749563,0.019571857802197057,0.0018414938872199915,0.060040359616880146,-0.0013038106811006367,0.045522345718655544,0.016933787088946772,0.031941648232653996,0.01449600432528153,0.008936738558216195,0.0946239368315962,0.027299238689197924,0.03859974196608684,0.03325205435245482,0.036518188240058036,-0.07950390020507025,0.011190550896520435,-0.02939862371448121,-0.026047590451301117,0.02995361965698451,0.02472196434016194,0.01823124147871491,-0.005125669842300007
22,2013,9,39,0.044183043176753145,-0.03572503693188511,0.018284744356106275,-0.05616582373287915,-0.053012553784479666,-0.04032378163889416,0.0042257414305511,0.07217996899309975,0.03126120430909274,0.05020372791438188,0.008828116310164447,0.03465177084736437,-0.011247769161122467,-0.009648839119765773,0.04406384194919366,-0.006795002140063122,0.027457365215375784,-0.05256039788633682,0.062474618754624345,-0.09887534457333624,0.05973347778466742,-0.07773197571860246,0.17721096972480965,-0.07204298504402129,0.12405576302319155,-0.00925384962554765,-0.013827676599640903,0.012010032133395132,-0.04098296623703246,0.002086444211179428
29,2013,9,40,-0.04883527796600717,0.09917409836896174,-0.007130642310298252,0.04559537551503845,0.08133166588513818,0.041306315877173816,0.02557384031538268,0.0005722475963760854,-0.007722668904125096,0.023660444889011423,0.004016081153729978,-0.06284504843279415,-0.04047854637289372,0.054331786093180456,0.005056224012320865,0.022166747621187755,-0.01981662683394647,0.019693186495036707,0.014771718724364558,0.08404386547221909,0.020341744293363773,0.07457997453539078,-0.12700844062797445,0.0014844448188262582,0.07071908232951674,0.13561935846713147,0.022974988145714415,0.0044474017646281006,0.07500577510279616,-0.020717310199708017
36,2013,10,41,0.041575747427232024,0.10842315460161145,0.028551082246490722,-0.027701319298554572,-0.03262859939478213,0.00655870514943091,-0.0012054551285762827,-0.002876765762397926,0.023028007170476927,-0.06687885730976684,0.03481451973425598,0.023823711760100785,0.05109661622401762,0.0033860941407704015,0.04547747342411834,-0.026628465724684802,-0.026250040461439972,0.026188103095675652,-0.023475207904572137,-0.01960097022106544,-0.11221714062830057,-0.022690850156954268,0.013359448113302586,0.05632330221946691,-0.1608972805674571,0.05613992735639384,-0.012071129276265857,-0.019712005584577197,-0.016760189554933635,0.00937114070538736
43,2013,10,42,0.003130938010120099,0.009146548696143508,-0.10453963927709609,-0.0011573553865719122,-0.008211942391589844,0.030814399945232607,-0.026368802235159916,-0.006170178028840456,0.006342517893721311,0.035784636593398034,-0.040707488850300844,-0.04735398836320537,0.023534901863329072,-0.013577416590368485,-0.07574777268980815,-0.015719001974338065,0.06381959041901819,-0.06023785394775427,0.12207260297024147,0.020167796900375068,0.08788496457329775,0.02397586208993796,0.10906358308076913,-0.026242199752142703,-0.08768330457034523,-0.02779751902925731,0.007725633800618192,0.025315124342725204,0.02967280562537411,0.0015106571998459994
50,2013,10,43,-0.034167522058423994,-0.000275346534552634,-0.12118945378692436,0.01932395986264268,-0.060577692615494394,-0.05935882559697847,0.02579434126642499,-0.05669459707909952,-0.05923291170521794,-0.03581729013290036,0.010690980979422005,0.13313259376136344,-0.02449880430866247,-0.08247090880947938,-0.0519007705734984,0.012083104082721396,-0.0586540982054925,0.04226096564052528,-0.11307130320123226,-0.09425673631202824,0.00050500615450777,-0.0018841826925081184,-0.09708593201423854,0.03258014665469422,0.16049475082610365,-0.06440744244036023,-0.00022877033510437794,-0.03104609796190594,-0.10192468810344901,0.004952130838751678
57,2013,10,44,0.02475316627249713,0.023201257665223407,0.15137864538642054,0.05383513174441612,0.039265774684077215,0.12028468983154617,-0.01264605662876317,-0.0001591740230932892,0.009210994509045056,0.007556104231924099,-0.0019668085699423576,-0.02919278143085713,0.034153508702952085,0.09391985743646836,0.09135202974950518,0.043317417286992344,0.013144196950205078,0.07480344086098611,0.1278260525348489,0.07419998854388976,-0.06120107856694468,0.0347528731517639,0.016941962809889466,-0.044809750801798165,-0.005093068976508852,0.08803151454619584,0.022523005971645027,0.03342749097560005,0.10615526648965146,-0.02159485961576124
