,year,month,pct_de_노원구,pct_re_노원구,pct_de_강서구,pct_re_강서구,pct_de_성북구,pct_re_성북구,pct_de_강남구,pct_re_강남구,pct_de_서대문구,pct_re_서대문구,pct_de_동작구,pct_re_동작구,pct_de_도봉구,pct_re_도봉구,pct_de_양천구,pct_re_양천구,pct_de_강북구,pct_re_강북구,pct_de_송파구,pct_re_송파구,pct_de_마포구,pct_re_마포구,pct_de_동대문구,pct_re_동대문구,pct_de_구로구,pct_re_구로구,pct_de_용산구,pct_re_용산구,pct_de_은평구,pct_re_은평구,pct_de_중구,pct_re_중구,pct_de_관악구,pct_re_관악구,pct_de_성동구,pct_re_성동구,pct_de_금천구,pct_re_금천구,pct_de_종로구,pct_re_종로구,pct_de_서초구,pct_re_서초구,pct_de_중랑구,pct_re_중랑구,pct_de_강동구,pct_re_강동구,pct_de_영등포구,pct_re_영등포구,pct_de_광진구,pct_re_광진구,pct_de_동북권,pct_re_동북권,pct_de_서남권,pct_re_서남권,pct_de_동남권,pct_re_동남권,pct_de_서북권,pct_re_서북권,pct_de_도심권,pct_re_도심권
0,2013,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2013,10,-0.1001304636498267,-0.10093094006693049,-0.11049475229712868,0.1500390396517719,-0.04384486893194817,-0.07860600426839914,0.047779598050356586,0.1524941123415351,0.42614907753057585,-0.12731133400532058,-0.19568192319657485,-0.22441151037663354,0.02304539644459891,0.06657123722189873,0.023824753031090662,-0.04009761699684122,-0.07722716332082125,0.0424931993491251,0.014141470303225656,-0.09667945620766394,-0.0018716051569056535,-0.031391946575351715,0.027981438932455083,-0.06907725120705022,-0.3229364273117463,0.06895556837853434,0.12790284823248976,0.16017610783122738,-0.043906624262034066,0.06187382340380121,0.12754355697830055,-0.23341523341523374,0.025587097724094177,0.1813008641005498,-0.11642006660309401,-0.1542552186643994,0.013109274419940586,0.02317318909746513,-0.1849073162269308,0.05920698646579181,-0.0805997492937558,-0.05049312768859482,0.11714414249936778,0.013580467337692914,0.02259613477826017,0.008432250479150971,0.1282405932643187,-0.05931487213965869,-0.06371657595976132,-0.24337337795218705,-0.03573246836346988,-0.07567821363623095,-0.07612501445660258,0.012129686621885627,0.006199214339326353,-0.014539507787671657,0.06875843454790864,-0.008266123658075664,0.04932332199030243,0.0007112728989500106
61,2013,11,0.30204416869697703,0.32588013156291895,-0.025786059117733906,-0.094522255215157,0.13327087112289315,0.12155692383748407,-0.10524399119406858,-0.026445574929129134,-0.03277963712960774,0.4968053981106608,0.24740214805837635,0.3196131558945807,0.03287311581018315,-0.02336825687451216,-0.041936425243998654,0.16821587309183506,0.17241293363791232,-0.11325382073523338,0.012415625341885228,0.023113510639083845,0.0005382494347465627,0.13899387784270356,0.27189035398397965,0.3023873744619803,0.24874581597796608,0.06501547987616063,-0.01647307267823994,0.006374380738210839,0.19789020194408824,-0.15110235411297834,0.3236153482746813,0.034090909090909394,-0.03253836792801579,0.022456620758791512,0.2624995430502355,0.2480800180334144,-0.1497557954282962,-0.1087268523132735,0.04046625694471673,-0.06565656565656541,0.02031527898928709,0.0205598431645031,0.0104145814832739,0.09061829111206565,0.1169721316079837,-0.12721822541966443,0.14616126327082846,0.22675890308971347,0.12947276817074171,0.10800649932765616,0.20402318658886642,0.16460310973149594,0.03857556101614956,0.08718520398298457,-0.0031626751265350084,-0.0006061532608506726,0.037739727790164324,0.1097423905386028,0.06106817093955508,-0.014641354854921795
91,2013,12,-0.17560482172479297,-0.009931545281113174,0.15648967568592775,0.1825969341749325,-0.060119185376587,0.31643730946156623,0.09185318386321861,0.07675176173381182,-0.11096554630753885,0.0865419984100051,-0.11996845327824157,0.13755220628291265,-0.037206919303670816,0.27008654240065555,0.0015002751220856148,-0.11339929389689918,0.23799602873603898,-0.0722776985259157,0.014049659576898854,0.05630676730263784,0.047371078012273804,0.10426308413628105,-0.252862913047582,0.11576082572571855,-0.07060056376471369,0.09635174418604686,-0.04553401988944472,0.06256803678678691,-0.13533497071763145,0.10025007624275672,-0.24522123924304073,-0.11132149901380717,-0.07568544519192677,0.07927746571858463,-0.2324139071923561,0.06783661181342615,0.4755469853950187,0.1515089092594497,-0.08087687581909175,0.3350913994605933,0.1357808933367568,0.021399909234249614,-0.12392609688907574,0.09308871872600921,-0.14375212062128362,0.18323123939213803,-0.07245592418821145,0.16234846684097914,-0.058201514235608154,0.3660910818533558,-0.1225753385722883,0.1628762202004821,0.06249464783791203,0.17045801997429666,0.032393971253587894,0.07093665177157216,-0.017962925036848376,0.141783538489205,-0.08528842050316032,0.09743778335794606
122,2014,1,0.03662228626462127,0.17756849410208964,0.027991504565802128,-0.07920730182545643,0.2216893763556782,0.09303351836533458,0.005243450502488534,-0.09829551256325575,0.08922879361793501,0.009604185316737901,-0.011681595794590383,-0.006656047331892623,0.08596699898015858,-0.08257050108463182,0.13325450411550488,0.27704923802484815,-0.15884061128236404,0.2901691440287033,-0.010323695357480789,-0.016312471101555426,0.03646634047268216,-0.1318109786028463,0.2744050489398693,0.020309661216202146,-0.05101737574673293,0.028457359955475825,0.22597552361492745,0.2794498541258863,-0.11790991374457716,0.13044105829022667,0.20528439704562373,0.20943509615384648,0.3853457510210687,-0.05932492328673711,0.22772292308264896,0.03802998064601448,-0.13894964627548956,0.09123169681309196,0.21224650714551174,-0.07559309412398474,0.06995696227527759,0.01770702631322174,0.3207103242106115,-0.029242682403136655,-0.011510122726678396,-0.04563143390001412,-0.043586775744542505,-0.23181419807186654,0.051913766354240165,-0.1528103216518173,0.17655123811322992,0.06403752981003907,0.10668466502174012,-0.022952078670571363,0.007843900283107663,-0.03543610400963515,0.0361897549432435,-0.03635311307410927,0.19474784570101655,0.17435429543840364
153,2014,2,-0.07258373480225022,-0.041503658900478135,-0.0011743410965006085,0.03782102885911698,-0.09332720342597023,-0.045680935790857746,-0.1462707285859065,0.12115629114864657,-0.03394907024173355,-0.020217094249002088,-0.02226279623003935,-0.03142408260882812,-0.17088131011576857,0.03901666067604581,-0.09454824433609355,-0.13301878472528428,-0.09931112744941317,-0.03209109730848858,-0.001615371330598303,0.004253404943268757,0.09912960073202504,-0.07270187775240389,-0.10699386705286873,-0.012211030559654446,0.19981851025024122,-0.09606126227913214,-0.01794521091301937,-0.07912066180540889,0.03643428016090211,0.03778496395836228,-0.3125773940108233,0.17325667610701223,-0.13625998569803244,0.03982067713916271,-0.07272331787734576,-0.00848401748221772,0.24658306204038127,0.11735152969406104,-0.11186410011834269,-0.0021060178339378233,-0.016264282851616962,0.011884501609070508,0.027341523170450133,-0.14139191990300748,0.10513321204685688,0.05641107508923593,-0.09678047112664334,0.011812131583951224,-0.12153662010752009,0.07125199032133755,-0.11059744607261879,-0.028007755533393408,-0.07824762025593968,-0.04038535715191727,-0.028571029034878737,0.04521255142373226,0.016377002063599155,-0.06426607428913378,-0.11967576540293745,-0.032084382592021066
181,2014,3,-0.009924110328530134,-0.235580560675138,-0.04835451936442281,-0.05499946893859775,0.0690348417739175,-0.2522324960374409,0.13758786001649703,-0.11647323128474552,0.04646681948349407,-0.2545741052387409,-0.028633862446740932,-0.19503317379574814,0.022677715081909966,-0.05382792773211653,0.056760325010084545,-0.007126129238983592,0.1460597725625894,-0.1077962285392623,0.007810463276046731,-0.08991391292909401,-0.10988973006449432,0.05770782694082954,-0.2148985282539565,-0.12962133150737343,-0.12444461973974452,-0.00016239289801711632,0.007815528447990161,-0.18432973484544712,0.0673797556753637,-0.07244100803670228,0.32913257715908406,-0.3596682878164359,-0.051750691561362694,-0.02989972838850652,-0.06369316385272283,-0.19010021257212306,-0.0877675219569668,-0.05110197894337909,-0.1369494902598296,-0.058620193000144205,-0.12339377757734704,-0.08260635647724501,-0.10108005468631309,-0.05104775517496629,-0.14761408477688576,-0.100694049379907,0.39585697133553843,-0.11818564512734164,0.05372662565333797,-0.2428084320780669,-0.03163977038644883,-0.23021576422506596,-0.034906967933563515,-0.10013876007159384,-0.010727441651748548,-0.10488514225500489,-0.068936629410419,-0.07609705960907387,0.02462393392710438,-0.1774643902956511
212,2014,4,-0.12520637205674567,-0.3256281407035174,0.05352001543558571,-0.052416055375415826,-0.32001474398883745,-0.045234841283019356,-0.011989685024326069,-0.018766941741292564,-0.17012062028026587,0.042107230657801864,0.04055189288173344,-0.13031011376032442,0.15481872399690655,0.017463926048399303,-0.05295019365327258,0.0280667341940386,-0.07164654873395793,-0.05136359010888358,0.03248784921525183,0.023554502000488142,-0.08962879427198978,-0.03345655330281405,-0.012809285345341093,-0.12533756096250215,0.3583904121189945,0.050236170882754116,-0.11662763295573408,-0.06592785728737549,0.06955011948942924,0.04267523522501171,-0.29110147875118675,0.12212112595962443,-0.07907199860007297,-0.1895963193826059,-0.031175314241468355,0.10000394687506198,-0.2739750895537043,0.17404121173157172,0.5486482426253376,-0.05266073771686852,0.18275585592192822,-0.08173790460830888,0.07909438462868867,0.030288291027005254,0.22108391091401325,0.006785371830385634,-0.1109272568359263,0.2926661892827307,0.07718239971624352,-0.01737469937469882,-0.04670612645682293,-0.06475606401948142,-0.019797900477278363,-0.014149407851146822,0.06699441530262873,0.0012085600711162492,-0.04797356539456177,0.014856726183437807,0.04647379073055968,-0.03636434858351256
242,2014,5,0.28602424691478734,0.035511363636363535,-0.05862300832957379,0.0338399576432169,0.040078870858132776,-0.05778574273197945,0.10912119554742206,-0.07288336886923641,0.11109117709739014,-0.12818933548903888,-0.009101673367572949,0.1020301372938992,0.0652442002128597,-0.07438164321400231,-0.048205237711759,-0.03916019325502029,0.19241059869386357,-0.03165008447531459,-0.0914253173102827,-0.03635141600783809,0.04314253781976096,0.011009941639206211,0.02884128717333634,-0.05812417437252315,-0.1873652448223836,-0.021569920844327406,0.0587434223970571,-0.14006081337894383,-0.17235801429131403,0.023977267959015558,0.07051331860912846,-0.09721877943582358,-0.10105860628818586,0.1445717545891516,0.0817107702193598,-0.31600840800973573,0.24389370959694534,-0.2636057193340593,-0.34282440581302054,0.0952727143769061,-0.18105804890912858,0.24978691493808247,0.03465837800844107,-0.0011637193382773026,-0.14710801426182896,0.09687401479325852,-0.009439216713183374,-0.32456646521092114,-0.042083834091455996,0.0063514545426826,0.05415612269257819,-0.06537915967275898,-0.03421583776948811,-0.03579469604893559,-0.07019195578065562,0.0068694470050130185,0.00937635457764463,0.013882108045907726,-0.1133620498875837,-0.06842737288926826
273,2014,6,-0.30787260107917946,0.21653929061336474,-0.13730570848177026,-0.027936720803541037,-0.025963330570453858,-0.12585572080878094,-0.0383209434964894,0.018735789668580694,-0.0994774754539608,0.2519748907656474,-0.019274033740529828,0.02617780636609912,0.03358906741269063,0.19619214954361208,-0.08036917937430899,0.17701479734432546,-0.10846082364406961,-0.17948717948717963,0.04192396939038057,0.019625188089919865,0.05156073196699551,0.031368519383465854,0.18133281728753414,0.25641025641025617,-0.05291807899775558,-0.10516571677496589,-0.030443495792135566,0.040541792906790386,0.11546857432457425,-0.1128294987048607,0.2642022626162288,0.32854627052206986,0.08708587736554563,0.03395116078119842,0.02935428136318108,0.7589687186620517,-0.02161311237609642,-0.07117160140082768,0.15950667213027114,0.014518609658566772,0.17825192627076025,-0.09629304507505632,-0.0013697194012433078,0.09429085976237261,0.04450848702929644,-0.07246581884429681,-0.056968726868756425,0.3857913669064743,-0.15570505105546983,0.17677299411611824,-0.06234391715175602,0.15324845360824813,-0.046249615749124784,0.05249020065525456,0.046860184228374235,-0.017131892404728122,0.02970563225613776,0.01438443891525587,0.07383566382125695,0.09326837924782705
