,year,month,week,pct_de_노원구,pct_re_노원구,pct_de_강서구,pct_re_강서구,pct_de_성북구,pct_re_성북구,pct_de_강남구,pct_re_강남구,pct_de_서대문구,pct_re_서대문구,pct_de_동작구,pct_re_동작구,pct_de_도봉구,pct_re_도봉구,pct_de_양천구,pct_re_양천구,pct_de_강북구,pct_re_강북구,pct_de_송파구,pct_re_송파구,pct_de_마포구,pct_re_마포구,pct_de_동대문구,pct_re_동대문구,pct_de_구로구,pct_re_구로구,pct_de_용산구,pct_re_용산구,pct_de_은평구,pct_re_은평구,pct_de_중구,pct_re_중구,pct_de_관악구,pct_re_관악구,pct_de_성동구,pct_re_성동구,pct_de_금천구,pct_re_금천구,pct_de_종로구,pct_re_종로구,pct_de_서초구,pct_re_서초구,pct_de_중랑구,pct_re_중랑구,pct_de_강동구,pct_re_강동구,pct_de_영등포구,pct_re_영등포구,pct_de_광진구,pct_re_광진구,pct_de_동북권,pct_re_동북권,pct_de_서남권,pct_re_서남권,pct_de_동남권,pct_re_동남권,pct_de_서북권,pct_re_서북권,pct_de_도심권,pct_re_도심권
0,2013,9,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2013,9,36,-0.6652688690008366,-0.24214559386973167,-0.023031133570296625,-0.404724984037216,3.5532803903249244,1.1673856773080247,0.8577944945083515,0.06883314580713451,-0.4150146216782866,1.107858243451464,-0.190448792978126,-0.3619721239858539,-0.4633082982231178,0.23443708609271519,-0.39365689572321005,1.9482352941176466,-0.6733823195398488,0.6461538461538461,1.5399710915871085,-0.24880165824588674,0.9526581507686576,0.33413703033956166,0.38158147524495134,-0.5320654577620523,-0.3419642153385355,1.7051282051282048,1.9632846427161463,-0.19641766741298572,1.3871454435727215,0.03009194761772105,-0.06275572652561634,1.7058823529411766,-0.0046119168372038555,0.19333333333333336,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.17412562911494867,-0.02974081022861519,-0.17681260578265257,-0.045937793601344645,1.0185899722423346,-0.12890992655899014,0.3728692884365712,0.2700737847222219,1.1204805644302445,0.2483375959079286
8,2013,9,37,1.0133103079144825,-0.40006740815638697,-0.178190726844773,0.34528200196561243,-0.4799923750319025,-0.20245046001415434,0.05210319581789258,-0.016011367116698372,0.7425974012511727,-0.2119883040935674,0.04288012239218131,0.32165634170198865,0.11211164785389838,-0.26723049734915416,-0.08879063626939365,-0.09504146569971206,0.5900026824905127,0.17408666100254888,-0.06456564339607151,0.1682678794000687,-0.22108843379101684,-0.03480421686747004,0.24686712691816903,0.8893089687040536,0.030888782416002902,-0.34123222748815163,-0.18880122954776268,0.20280310705842597,-0.14720164266489077,-0.02506316921432683,0.3555717244081267,-0.06763285024154586,-0.17464494000107722,-0.1795913583623081,-0.7182072013602885,0.24025513819985833,0.041235089097245936,-0.24780316344463982,0.03513027658053747,-0.29692307692307696,0.41584813961715383,-0.26243774727404356,-0.2538537039600345,-0.38888888888888884,0.5552128867535675,-0.243195564516129,0.3150694526200646,0.14494341000365085,0.25190077157158686,-0.24626424651751788,0.028572010751377386,-0.14036851086739077,-0.036270135522991964,0.1529961591550144,0.09752050554359015,0.015177088071198996,-0.10280643531101141,-0.06641295483670528,-0.06503583646916122,-0.07135274068279607
15,2013,9,38,-0.3782855136436597,1.132022471910112,-0.21041906311997505,0.16865671641791002,2.6075527582376887,0.26923076923076894,-0.1558010260764684,0.04399464182800905,-0.3187142156060855,0.8061224489795922,-0.10000239297422742,-0.07755657869139465,0.29271264928101437,0.05792420327304049,-0.3080360358413644,-0.2783103271983639,0.15701433680311672,-0.1174573310038971,0.25728830161296434,-0.1701209324528603,0.14037121698050936,-0.0632257785747462,0.12227528777859398,0.5315175097276268,0.11738875736493792,0.4268585131894487,-0.23120872717855756,-0.09928400954653938,-0.18616090114539174,-0.21868914482835367,-0.2082851637764933,-0.5113341968911918,-0.14705888887037566,0.8001904761904761,2.584932735426009,-0.42000000000000004,0.053855703801486854,-0.045950155763239575,1.2345113301111041,-0.6148796498905909,-0.04760822846947055,0.09970860255922953,0.534876171041647,0.41754756871035936,-0.3313351313048508,0.6513856513856511,0.45007337484630994,-0.2560267857142856,-0.22689130253977052,0.10603345280764609,0.15630088735931946,0.15410815655811128,-0.09548796819313621,-0.011622717128934035,-0.002040593232892296,0.014030565941844708,-0.02715504635696564,0.07479784366576836,0.00854819806621765,-0.2216606498194944
22,2013,9,39,0.09834200653515679,-0.5166007905138339,0.963027873198417,-0.27222222222222214,-0.3957627770935961,0.018057285180572924,0.43315351221750586,-0.2450936679476563,-0.08720731569916396,-0.04954367666232096,0.07555171496942292,0.044463971880492004,-0.5316635011079457,0.11649365628604369,0.34740884832161245,0.006449422946367855,-0.2317517148399223,0.11252340132032712,-0.1977778908642921,0.11947846511516436,0.12330859253132465,-0.042435424354243634,-0.23265044465055373,-0.27606707317073187,-0.16814341421143864,-0.09747899159663864,0.27446433082801724,0.3578100158982511,0.4176449828851212,0.24080470001780352,0.4138650349407227,0.4189150809429141,-0.20699550506632347,-0.018124443725220374,-0.20111678174722314,0.704433497536946,0.10811213838353706,0.7461224489795915,-0.8503286701500083,2.2196969696969697,-0.0032430965465769512,-0.009265306122448802,0.29202708456372206,0.3805165751474475,-0.20693269853833007,0.019351413956181895,-0.26174143274062045,0.21452145214521434,-0.06813378488822974,0.012692411558196115,-0.18397927725914087,-0.009219499873704962,0.03291241177855886,-0.07589721232565882,-0.005518029597960439,-0.04695297673437859,0.17804412630119804,-0.030906768837803633,-0.16511819787158422,0.41684259910860866
29,2013,9,40,-0.2830326269437732,0.24953541960900893,-0.21611776929141613,0.17179676598538918,-0.04425814464507505,-0.12431192660550461,-0.3247624551031344,0.43825166148667716,0.614517317015921,-0.45550983081847274,0.01111825272239586,-0.3477620730270906,0.8289955051623048,0.1335227272727273,0.18751712062544867,0.14321247892074207,-0.35274975593882185,0.10312047943790015,0.00967098737754557,0.005355695944032179,-0.0010140513936744977,-0.06225915221579903,0.8912813949768039,-0.03348073278584962,-0.42932145786944786,0.10265363128491645,0.23453432758002113,-0.22058787657031342,-0.24048569548459875,0.08641528925619779,-0.7234735780854256,-0.1593274619695757,0.4239901146391325,-0.19596459027855828,-0.18896087302899567,-0.34566473988439295,0.1157852240613646,-0.05469845722300126,0.9617242242242237,-0.30117647058823527,-0.0777404160313655,0.04808583611420092,-0.11418797676653447,-0.3091239442152821,0.6735100494999533,-0.32747479051271133,-0.41499745287824763,-0.08242753623188392,0.33169438189611644,-0.14261111111111113,0.11967517953476237,-0.07916234580755732,0.056481904384357184,-0.03599612809789121,-0.03920676411633561,0.028495984156672538,-0.03514303571533517,-0.1016810168101685,0.1449923350313127,-0.28489363837045956
36,2013,10,41,0.9152430633173128,0.045359904818560226,-0.03093208559964744,0.031141175999679804,-0.20847807072347846,-0.23153483499214256,0.5205735486261576,-0.14389187696007544,0.4063436848279456,0.13901018922853026,-0.34835257004506104,0.3468773513920238,-0.011257421013687652,-0.168831168831169,-0.1376578701603074,0.040823099900431536,0.495926816239316,0.03264331210191074,0.0816925131973294,-0.19445114728206014,-0.044054719532760966,0.01245665853345268,-0.5019797273146847,-0.1860231271995979,0.4817881459576874,-0.10356765885581609,-0.5422233670308496,0.39784677015523284,0.13414926695145946,0.2112351586035801,2.463927793339557,-0.05733333333333335,0.016746248449631684,0.3709081309398101,-0.2088306521363087,0.5827444051825676,-0.2698264811388047,-0.3137982195845699,0.021971503471174936,0.5555555555555551,-0.23338081496187968,-0.10422748693754047,-0.05987274599361092,0.17372947615324486,-0.22506193148684772,0.5090663537538471,0.7675926776208917,-0.11101139728977838,0.17309391565730037,-0.2626390003439182,-0.01939024438902681,-0.03978409646407011,-0.08288510691136008,0.09713787991104561,0.03454383602481781,-0.06125308954597197,0.185537503743062,0.07776733696673621,-0.1640919062829429,0.39089521871820954
43,2013,10,42,-0.476501652482234,0.30272996000695573,-0.13175661768978952,0.1673146348236605,0.3422994779257782,0.5797366627201952,-0.17209236814274242,0.2643954454558497,-0.2682838879347046,0.04652555910543121,0.11867027518163753,-0.2156424581005585,-0.21336870734678215,0.26666666666666705,0.026692493268065887,-0.006122448979591688,-0.1409037480099391,0.07401696222050913,-0.008520097913831681,0.031035635170461706,-0.01627150584791137,0.19256242543913782,-0.13463923631676145,-0.04928968499073505,0.013737915266430756,-0.08214016578749062,1.4995578939676277,-0.1323661114096364,-0.18811463731518907,-0.27215234679189193,-0.11691944604178617,-0.032296086751532393,0.007711212356088293,-0.16215615695685048,0.3017315425760354,-0.5681395348837208,0.283058728796312,0.7027027027027029,0.441395174664313,-0.42393320964749526,0.2851010712993365,-0.0004766444232602307,0.054794828302797915,-0.4156674660271782,0.13999566655665086,-0.3959266965428937,0.06657940267158424,0.09563227673463892,-0.4407014866279274,0.2617647058823527,-0.150908018674075,0.04610506470134501,0.02374615595438101,-0.022784991794533305,0.002986456925125447,0.05470953114578747,-0.18823241485980413,0.020071870556131577,0.5076109052988653,-0.16730663741086116
50,2013,10,43,0.27224606580829747,-0.47399893219434064,0.08738192625724617,-0.12450408972914773,-0.20477610018668646,-0.13871729651162779,0.10825763761115259,-0.13735467167537818,-0.09726615214583023,0.5111619919862618,-0.10507199426789937,0.08702408702408704,0.10594341217373793,-0.15299382058384825,0.12692276352837872,-0.12095433656008625,0.2512340012816294,-0.22038765254845682,-0.12308136406694548,0.16727607411197032,-0.2766386516975333,0.059620872401141334,0.527228953497501,0.29645270270270263,-0.21160015554367384,0.2079228243021347,-0.1783749254499316,-0.10941370767960401,0.5632322178831533,0.11162624821683287,0.07495336611836523,0.07868453105968354,-0.13944148259755274,0.09145968772573254,0.1575050925405217,0.8108059594327763,-0.21350760949587855,-0.5898412698412698,-0.4371474168646081,0.3526570048309181,0.06038472448875942,0.02435452006267491,-0.37551250785401635,1.7633378932968538,0.0969289741780337,0.14788501026694,0.20949758075722902,0.1427754677754678,0.13059035687167775,-0.1960368611488016,0.06204181637758155,-0.06366943278098192,-0.022349149943469926,0.011002426448286862,-0.02352483325424759,-0.0013096470912548064,-0.06388170893574885,0.1575309027709979,-0.22250440408251015,0.004391743522178526
57,2013,10,44,0.11909848837769688,-0.10576532683719042,-0.05072839104630078,-0.09244226044226012,0.3173057583322487,0.09018036072144286,0.03979623472562266,-0.04725290088074907,-0.08194774346793343,-0.17056277056277058,0.6485300460974721,0.25411007862759116,-0.14355713223447752,0.033254716981131915,-0.12788541877814952,0.20300333704115703,0.26191431933005727,0.023480662983425438,0.07749971904340569,-0.06119642708325468,0.48689812146203715,-0.15527252294437133,-0.3054853495544896,0.019543973941368087,0.6659011390434502,0.09090909090909105,-0.2642533852123463,0.166985396383867,0.12754906464463422,-0.0554826416231613,-0.09954251459220698,0.3527551942186087,-0.18704631117840664,-0.0382528127068168,0.08902814006115145,0.06165741475019848,-0.20532667141348915,0.9175696594427247,0.13540602024331538,0.17499999999999982,-0.07672704395744889,0.07063645130183205,0.752707196452933,-0.1268564356435643,-0.03726980113841316,-0.06828020464384077,-0.12568427369067525,0.01859053076818107,0.5505317539603256,-0.05415421398684972,0.17339844637385649,0.05974837192260907,-0.028108615332511522,0.025168578747999604,0.03771015623666796,-0.03784933495409559,0.24280871408442595,-0.14686834664859383,-0.13147426293315145,0.21157064668365377
