,year,month,pct_de_관악구,pct_re_관악구,pct_de_은평구,pct_re_은평구,pct_de_송파구,pct_re_송파구,pct_de_구로구,pct_re_구로구,pct_de_영등포구,pct_re_영등포구,pct_de_마포구,pct_re_마포구,pct_de_광진구,pct_re_광진구,pct_de_도봉구,pct_re_도봉구,pct_de_중랑구,pct_re_중랑구,pct_de_성북구,pct_re_성북구,pct_de_성동구,pct_re_성동구,pct_de_용산구,pct_re_용산구,pct_de_금천구,pct_re_금천구,pct_de_강동구,pct_re_강동구,pct_de_중구,pct_re_중구,pct_de_강서구,pct_re_강서구,pct_de_강남구,pct_re_강남구,pct_de_서초구,pct_re_서초구,pct_de_양천구,pct_re_양천구,pct_de_동대문구,pct_re_동대문구,pct_de_노원구,pct_re_노원구,pct_de_서대문구,pct_re_서대문구,pct_de_강북구,pct_re_강북구,pct_de_동작구,pct_re_동작구,pct_de_종로구,pct_re_종로구,pct_de_서남권,pct_re_서남권,pct_de_서북권,pct_re_서북권,pct_de_동남권,pct_re_동남권,pct_de_동북권,pct_re_동북권,pct_de_도심권,pct_re_도심권
0,2013,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2013,10,0.02842932793929487,-0.032477010655379335,0.274216498571314,-0.11123706439463221,0.22390973555723215,0.01638283819393882,0.13875897603597753,0.046922467309470584,0.01990278388833633,-0.07222130316260433,0.3587196922619573,0.03348214285714257,-0.1401887502655349,-0.09673898212580145,0.004118875731251581,-0.03556227598566297,-0.258230266610598,0.1619383092155373,-0.48053680942239096,0.02499999999999969,0.34756551930694957,-0.11355326073853833,2.250988630746416,-0.6347941567065073,0.1460296555325964,-0.08133291728983516,-0.05050908252702868,-0.08672802384563094,-0.15840005096731735,0.11545566502463056,0.05837149443628098,-0.10418113984304622,0.17439059788271005,0.14471862708475247,-0.25456431462849627,-0.08822286770530763,-0.08263062818208877,-0.0468436672816237,0.3100892274022846,0.038565449010654396,-0.21070185490836646,0.18097917839054567,0.18063397721644403,-0.11280101394169828,-0.2953925543678583,0.06527977044476319,0.2594787946900621,0.020142949967511425,0.8468921863650514,-0.28362944162436543,0.046399409148481396,-0.040022272217665855,0.34037716076219615,-0.014478424574044357,0.09887780084516296,-0.04007689350249877,0.07918424755199704,0.036686634955346076,0.07544185444903295,-0.03668128349690314
61,2013,11,-0.09120021201853057,0.07152856885329606,0.0004346331898033018,0.011779861090702504,-0.15482872135657,-0.07396812423375598,-0.03884422786782815,-0.08544580999654905,-0.129050214673186,0.05294034816810744,0.03079462641874886,-0.1338174685155622,-0.40250747691907585,0.1499244712990937,-0.0699529739990794,0.035044422507403805,-0.25495108744428163,-0.13590741499385495,0.625232167555819,-0.043791574279378964,-0.13950031227888915,-0.019285798467884252,-0.5428897251682062,1.153454545454546,-0.2613186051119478,0.1310862363216545,0.0014839410522868857,0.018551919608348566,-0.15536822111311566,0.037422411081655005,-0.08425673737887018,0.19550945378151252,-0.09983356275490096,0.07845214100612896,0.47063519998626413,-0.033768716151640565,0.09685734227155729,-0.11445686351013318,-0.07961782773602988,-0.09328228332753219,0.3462773353558335,-0.11941294196130758,-0.3300401336857268,0.1566666666666665,1.9608704749947683,-0.1520538720538721,-0.44215500491736437,-0.13694267515923564,-0.4712226061497068,0.5624446412754653,-0.09238302296545609,0.02591370430172102,-0.06616330934454961,-0.07675448265726026,-0.013652275196553654,-0.0026156251443046896,-0.052791070327196654,-0.055032674068934084,-0.2678488281189595,0.13930635838150285
91,2013,12,0.06978560976001957,0.028841033710236497,-0.09863546942363166,-0.02863961813842386,0.08206183695433134,0.06571157944589201,-0.003025226541320425,0.06601594919351905,0.2019157602614019,0.01770788217313557,0.23615634973005872,0.02825683347463559,0.7714173600932519,-0.060564263322884004,-0.21090849449058424,0.34028203556100567,1.2710782627264425,-0.04972685250035014,0.09964580825825986,0.32077294685990365,-0.15181537355997177,0.04770820429078193,0.4939183270687115,0.09929078014184389,-0.14006879209180023,-0.008623941518490108,-0.25960704434100634,0.21261182531104073,0.1607892998340945,0.04763595245608521,-0.05945391568538483,-0.025001525413387404,0.42149060524883075,-0.01726653288690405,-0.1761196469434455,0.03299813166281984,0.12482173004924468,0.11857732479784411,-0.16363126508590087,0.006597888675623942,-0.32732667317659414,0.1863636363636365,0.33085790588725117,0.07077203094190798,-0.22645128722867247,-0.20130695225993822,0.9559952270381837,-0.005073800738007561,0.5402400921069994,-0.09060435768510333,0.11388306931389369,0.02989029742376159,0.07406706080096859,-0.004019748851525784,0.046749045949832535,0.07768841161045459,-0.06077099395707408,0.05513179121391909,0.22123901281676672,-0.011689497716894759
122,2014,1,0.00025103151735828,0.032892540182019925,-0.02940283538228261,-0.007618422374155331,0.08701227007166579,0.045254929745751404,-0.021549906617564507,0.010535860274990316,0.0050382070126626655,0.04841414500231056,-0.18208068275187794,0.010620965288387074,-0.1413629978208315,0.01391960948821569,0.6018794956098914,-0.26053909493982685,-0.15660146416941867,0.0752855014895728,0.5577872162694211,-0.15240185320653543,0.0716141782313584,-0.08866219967116329,0.30037202657067574,-0.44585253456221197,0.5185359186483185,-0.07196651621706696,-0.13154631023370977,0.027095028574318336,-0.03402515769132597,-0.05226119805720453,0.19394138255871773,0.06844814368634267,0.20872367204811626,0.018138061616322476,0.2561364062207234,0.017315211320052315,-0.24184082875780577,0.04038103126941395,-0.04007923365524968,0.017000007010312013,0.10135099565939454,-0.09475156601593415,0.2216548810831387,-0.012287686815988574,0.10984077264421832,0.08659090909090894,-0.5710136325290114,0.07464070468242956,-0.32750749838034987,0.053052905464007205,0.015680985983992146,0.038749911902206335,-0.04157244886182376,0.010654843293641525,0.040621447166982794,0.014296902766113728,0.07989651853742985,-0.06342430947827205,-0.11573463962009412,-0.037625687043539635
153,2014,2,-0.0824427931175119,0.011018308795772036,0.20585359695361172,0.03494100228085517,0.14723335452799557,-0.05877449306161697,-0.04041159677709516,0.012718640888881971,-0.10783160711842477,-0.0020633876069372503,-0.11593390665399383,0.07375956446115306,0.03148523136139225,0.033469067787383455,-0.2902981149155319,0.1725886446072984,-0.06507028112449798,0.19006349206349205,-0.3429472968075846,0.18192279527147237,0.17514568914353013,0.029099092108326285,-0.11319199940070424,0.471933471933472,-0.2676161481296718,-0.009495694956949685,0.002508031557548973,-0.0887677725118482,-0.1322344494891482,0.06565840621963082,0.03855824244591455,0.04733480107910437,-0.09574002326899922,0.11085109447004604,-0.1557339749330724,0.13414449437067733,0.49183676432862056,-0.14762083177219965,0.11774727884249359,0.08496011176059737,-0.13866015840943635,0.12708543276228879,-0.1916578528703351,0.01433691756272415,0.2692624300296347,0.16398243045387972,1.1663145197530769,-0.09842702595075337,-0.35188731202561896,-0.008019195554713643,-0.06144780476147138,-0.0027928860477361983,-0.030221665937026576,0.05821232921009334,0.037596849058933346,0.018188652412559625,0.03278369108971102,0.13471598708863497,-0.14394945413198146,0.03910237637017833
181,2014,3,-0.012685349818526204,-0.09947744195394592,0.12206399374029431,0.04549783749672898,-0.01861770889980041,0.00804504910922721,0.0010378180276018334,-0.02484957052960357,0.013517506207320729,0.008546443642279744,-0.09752624174165114,0.023014124059184793,-0.17365363648753007,0.10412979351032448,0.15979335749743906,-0.12562283838443034,0.09895314991942494,-0.1579176019115197,0.024529395013600297,-0.14661887059656598,-0.0321324588710572,-0.09789875835721107,0.36534646296430373,-0.45084745762711875,-0.08859396210327963,0.047365167671147956,0.7432178810082986,-0.16690814256737185,-0.08506739044702705,-0.060986035907665936,-0.10131490178989333,-0.08609050939290352,0.09167972627664311,-0.07949298647094372,0.08579508802383207,0.1285288785288785,-0.18497786276605555,-0.041156737998842896,-0.16587085644246313,-0.08869167626728147,-0.4872871380365691,0.007649513212795389,0.044578280135020965,-0.026873721405988538,-0.16005299584001198,0.035938903863432126,-0.13965526653383198,-0.2965989399293286,0.4077879231267061,0.13096753660089067,-0.056800851508386985,-0.04038823667633573,0.012482676199622844,0.03514679455014269,0.15355041313419493,0.009480437077688642,-0.13341686381538997,-0.12638310270102404,0.18844957229348824,-0.021470308465824317
212,2014,4,-0.052014630935146355,-0.0064118559263921515,0.10847124587153112,-0.08783485978335381,-0.05898364283898638,-0.009924658546084375,-0.004773043928953058,0.051641683522207105,0.24875294148829385,-0.04958952283809859,0.10492197089900035,0.024405948419782497,0.2429223625056034,-0.1653976311336719,-0.2947812766716349,0.15305711987127935,-0.11023776819968734,-0.0038693035253654084,0.20165173080302257,-0.16571591557330279,0.2549708173528087,-0.08955659809057859,-0.6474245659685394,0.5740740740740744,0.36132139340226477,-0.20047952784950185,-0.11730414507538367,0.10585507246376813,0.3661067444219066,-0.0911987860394542,-0.2574712240577064,0.05603988697715012,-0.33537842701729914,-0.10830988963427812,-0.33398410777488097,-0.17051849858079704,-0.4059304273743901,0.289099068667664,-0.047782989363907125,0.13103539094650207,0.8562672189484957,0.022127329192546563,-0.6307348259674151,0.42182786157941443,0.2685173950451145,-0.04759323503902846,-0.27390757428907264,0.2293877551020409,0.1066673309557078,-0.13018647729247856,0.00327476054291842,0.012948396670334317,0.007010718117759884,-0.004249251177916635,-0.20044580710663118,-0.08717120062385686,0.1196846130258582,0.010705857112208284,-0.010701820350952462,-0.06031384529926409
242,2014,5,0.09888267535227313,0.0654336260138404,-0.1641804695152007,-0.012166116446578612,0.09273263761167305,-0.05681977523506576,0.30794815635892636,-0.042722597183463384,-0.1687553175516735,0.04848601987787937,0.2353057361941422,0.022333025602588208,0.1652858993662243,0.012873796249366576,0.4224132935034004,-0.06389906389906408,0.38453226016805475,-0.1238670694864048,-0.47155850612698513,-0.20861538461538465,0.06626484306228897,0.050593684210526124,0.16802116260636213,0.42763772175536907,-0.09824157193470529,0.14612722917221221,0.09058135466913608,-0.1459044205951313,-0.005708753060470029,0.12317025658151093,0.12078994403214538,0.11100588250166532,-0.25087141930349166,-0.02158222969658763,0.10750263036616414,0.01678081794898567,0.4859686245262891,-0.06932590485222068,-0.04868525896414322,-0.15024217585692978,0.018424683742448877,-0.08970755791872398,1.2110587612493386,-0.26610084872690964,-0.021593243551700225,0.09003984063745007,2.149495603571672,-0.19322709163346619,0.7483446347041058,0.04824436197544979,0.09333247376371334,0.036546184738956544,0.12073007476249598,0.04175915808022079,-0.03256178568339241,-0.02366280691226974,0.10603018144140552,-0.05276760093542354,0.17299703792438303,0.11324560111990634
273,2014,6,0.10349801847065199,-0.08398239749544723,-0.32173801513136435,0.20398274703114483,0.029469354993540753,-0.027970370370370645,-0.22355014109800697,-0.00523764933474713,0.007923818683104988,0.09995940936648773,-0.11921533059691558,-0.003999238240334546,-0.18615501699932324,0.3052259989810029,0.032348355686035335,-0.050635451505016804,-0.3899881580363871,0.11908045977011494,0.20850074713597877,0.2877138413685849,-0.2464234617775285,0.09049380470155466,-0.4719738036253036,0.22236756049705697,0.2314014925085326,-0.07667595603034527,-0.18292966514024056,0.24690944711031748,-0.3229324637345047,0.0026578971078474734,0.11042555673593357,-0.239114511700945,0.1878170641584216,0.02326595287545663,0.3629187840214685,-0.06606226863418985,0.18504687732526404,-0.05784193431974016,0.23202948320629901,-0.013482407102926808,0.5036989808826955,-0.10102358700489544,-0.0841019510133092,0.005291005291005346,-1.0,-1.0,-0.49434450005260233,0.6241426611796985,0.14986538312543551,-0.2543402777777779,-0.0020386507263088216,-0.04430798299480365,-0.1854061283540459,0.02378966947762229,0.0724445815002206,0.0017702342909500235,-0.13258863047667047,0.030791414032480757,-0.07623545405687593,-0.0994181011861025
