,year,week,pct_중랑구,pct_도봉구,pct_양천구,pct_중구,pct_서초구,pct_마포구,pct_강북구,pct_성북구,pct_노원구,pct_송파구,pct_은평구,pct_관악구,pct_강서구,pct_영등포구,pct_금천구,pct_구로구,pct_동작구,pct_동대문구,pct_광진구,pct_강동구,pct_성동구,pct_종로구,pct_서대문구,pct_강남구,pct_용산구,pct_동북권,pct_서남권,pct_도심권,pct_동남권,pct_서북권
0,2013,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2013,36,0.15552302541638263,-0.1844812935720357,-0.3301125176151285,0.04243898691008585,-0.004871415097387755,0.23378013012393528,-0.07218282671981602,-0.03260467665647937,0.2096663396006857,0.007975302689663177,-0.01826038896148685,0.017249934523932753,-0.19392933366737242,-0.30614429648968444,-0.24285441991449253,-0.03132300992121495,-0.04933545215331192,0.3742738515235591,-0.23967741830400102,0.026193170266380017,0.5439884711951373,-0.08987350405643657,0.06537704007053424,-0.02186567341050638,-0.3452004031388426,-0.0038945721767469355,-0.16315859993728765,0.4997817176780477,0.030558594177901632,0.06887038872920836
8,2013,37,-0.13433882450773882,-0.0034931961482422835,0.015030593057151043,0.03637418269846382,-0.1214931119430318,-0.12024169199107493,0.05449083879955463,0.0008026039975475019,0.13292402560147165,-0.01239605305851621,0.001948377806781032,-0.07068917472974423,0.07527063161353831,0.06518627768313534,0.0769512470486986,0.11778170100458452,0.19302640318465847,-0.14241676794249625,0.0848875041188244,-0.0672424685430143,-0.20832312445009538,0.059428930256756995,0.3172398839573922,0.26371180860016463,0.10166899598492685,-0.013971847399841253,0.05003886997876594,-0.2152967361576088,-0.05309968608979776,-0.0031435150414320656
15,2013,38,0.06476668858890289,0.02837616890084904,-0.14236489239385886,0.012609263835172912,0.573829533761699,0.1266841805335801,-0.07426097425869471,-0.06285944830129608,-0.3594103045403879,-0.03146335351832119,0.0737576872247736,0.07097025362636056,-0.02315190624573138,-0.1533983741852648,0.03681290702082407,-0.07108473642985857,0.06326102051754767,0.1408237936397312,-0.08070059094419191,0.14700768216047133,0.1401885145413253,0.224408606292003,-0.3385215757412172,0.054222222629028094,0.005345575636124922,-0.03746317661117049,-0.0010128087917445905,0.14708049038374615,0.12801608146747157,0.058458628988435235
22,2013,39,-0.02656677061002466,0.023471072475656163,0.10876063627376187,-0.08476767408598118,-0.3561121689011917,-0.1547486933235619,0.05501660047904,0.20338107955502482,-0.03798448482943395,0.11888586994112993,-0.04568397475124597,-0.01168177288734884,0.25159164761375274,0.5598689254472025,-0.04380272401839602,0.1989440608063131,0.06797091359550889,0.01291975342905971,-0.03034635455796031,-0.12960663939834527,-0.00978181162878411,-0.20047481543007328,0.06637134518672427,-0.1485717141977171,0.09782682873176296,0.015504031879951752,0.1537413723315615,0.019954598423561842,-0.016598288834291042,-0.08555804706555237
29,2013,40,0.10612675594183218,-0.06076045427480703,0.16539166984888376,0.3081662709003188,0.12180957147753335,0.080516200267289,-0.028308661830154902,-0.11038486660434554,0.13727315100874038,-0.01748120057014768,0.007812107187952666,0.04884947494221814,-0.18995825404556466,-0.140292822412443,-0.08004384594478375,-0.00033917618467815824,-0.19946684495859357,0.07692479019495324,0.35390867525603587,0.14157480658329424,-0.27514298149414795,0.17194764470957002,0.15674069786804012,0.24467634012361272,-0.01980799606195227,0.05222313130446943,-0.08652085748958416,0.12466952806718967,0.003942034302609754,0.023507079511098095
36,2013,41,0.14510387839489347,0.10604935521752168,-0.07741924593180394,-0.1286407714151303,-0.07356171136076406,0.02869125285267793,-0.02353942910318574,0.06422353325254804,-0.20727195973364654,-0.015291870401939023,0.031072023769647572,-0.08352881808763557,0.13358491291997732,0.11372435359840716,0.10786970255865569,-0.22394366210509142,-0.06852416999797983,-0.12966862878516694,-0.166152795432693,-0.00501273118321055,0.10082221676369985,-0.04280062518703587,-0.09200600544796445,-0.1547319673971178,0.20882938567736442,0.0023445831991704136,-0.02206902152558532,-0.11347136088319054,0.016447867437620944,0.0695476312537
43,2013,42,-0.23586803526646183,-0.17058848694602946,-0.07018461500502837,0.10293200076658704,0.16076165161203337,0.09129824230616124,-0.016890181097104606,-0.039744717028778354,-0.004117881946929525,-0.04174977607697816,-0.11587161645205202,0.05371458200462498,-0.15110059396130782,-0.18525874130040088,-0.06848344084863212,-0.022285971162615437,0.15160976978593044,-0.09875868804793642,0.026269483738502464,-0.11156302620545566,0.3869313421948444,-0.07634403530234213,-0.13831763382934315,-0.04576248850674658,-0.3829433474241988,-0.10379827926365792,-0.05950303127982537,0.16920986777243296,-0.06278596565727601,-0.04743642403561943
50,2013,43,0.024869902461140736,0.0729781475609228,0.1387179366776885,-0.00034352676213289524,-0.14609671984796002,-0.14630706277345795,0.12491269664396887,0.09432466470797429,0.056914034490564536,0.05434208693584175,0.026301921646155968,0.04216995155539727,0.053828248373698706,0.18311067821735594,0.00995083153880505,0.15382677302814196,0.04152647939126064,0.00046780761965292683,0.014838260240119805,0.08823573516616268,-0.27292121557187365,-0.062338919003050886,0.12950906621123814,0.3444976170240137,0.5463383422971462,0.027499172882416545,0.07742625691597471,-0.2648244279762121,0.007749334771238736,-0.07215461032379389
57,2013,44,0.06179133226951783,0.05865521783804595,-0.06159306613075444,0.2737554065987631,-0.06287058216699881,0.21590638198102718,-0.02915016575250151,-0.02883873112553359,0.005256519487215172,0.02319272903603764,0.14724925711936554,-0.04671255020215881,-0.027114850894722764,-0.14962889507544475,-0.1583904417900237,0.00013010245926370345,-0.1908885847266506,0.19905362770465618,0.08256554929805926,-0.013596733055135202,0.34315427710881696,0.2613660523086305,0.011141807069786624,-0.08005907243717458,-0.017208360599082928,0.033892345248816014,-0.06908862077389666,0.40543544847900237,0.05301383152118855,0.2190609712776601
