,year,month,week,pct_de_강서구,pct_de_노원구,pct_de_성북구,pct_de_송파구,pct_de_동작구,pct_de_도봉구,pct_de_양천구,pct_de_서대문구,pct_de_강북구,pct_de_광진구,pct_de_강남구,pct_de_마포구,pct_de_영등포구,pct_de_관악구,pct_de_동대문구,pct_de_은평구,pct_de_서초구,pct_de_중랑구,pct_de_강동구,pct_de_용산구,pct_de_중구,pct_de_금천구,pct_de_구로구,pct_de_성동구,pct_de_종로구,pct_de_서남권,pct_de_동북권,pct_de_동남권,pct_de_서북권,pct_de_도심권
0,2013,9,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2013,9,36,0.29281489372093517,0.11706237239923833,0.3089742843871408,-0.057919657478825104,0.11359771591996082,0.23470603138732704,0.01685940452146739,-0.5005016251388568,-0.3941768172334066,0.15319473102639591,-0.06095277064402038,0.5533341366210538,-0.3472783569196125,-0.18138886596425574,-0.24184064278951956,0.19327590692068708,0.33331659925222534,0.4121413179689801,-0.062298490444913646,1.0192193767355753,-0.01053548795944248,-0.07852097087752385,inf,inf,inf,0.02596705707844338,0.2338504051907644,0.0007115375994586337,0.10981799218508459,0.26317083329930346
8,2013,9,37,0.007980298383111872,-0.11811737604357542,-0.05928236503881257,0.1482110692006593,0.14593354481861032,0.04794228685808988,-0.017021253118326585,-0.041967157871813376,-0.027096168651474795,-0.0013980887601509062,0.06764671972355396,-0.08543057459483117,-0.21426139042013603,-0.06662961612721907,-0.062454009369418806,-0.027573900715202937,-0.036179149477975736,-0.08672611004619313,0.1718232401325761,0.004814065827942082,0.05224561684412787,0.014117645215734775,0.038564831437662095,0.1613015487136431,-0.173817224874671,-0.02268911139825669,-0.015698028712713308,0.09978936996801213,-0.0471394522840386,-0.07901773262975054
15,2013,9,38,0.006279571103182224,0.13570690626760995,-0.052789911718591154,-0.08001145368123141,-0.15394339353044373,-0.07753868806920516,-0.052832693793522734,0.20688354420395827,-0.05803931636470305,0.16772349590755797,-0.056206192884393436,0.06005763630107497,0.04808833660113421,-0.03805142531235606,0.4160304476992329,0.08091927023449941,0.09828618394454858,-0.017992806345775048,-0.2854467086628053,0.1459324805484763,-0.0015520861864330993,-0.17818328060789557,-0.045018821432986744,-0.16391612478189088,0.21748788051334955,-0.06066740084032429,0.06556412346051821,-0.09343209828868804,0.11593448480453894,0.15142044244831965
22,2013,9,39,0.04110826367387643,0.17727313931494293,0.019072829005980063,0.04617133237587745,0.1822439773490736,-0.028175867406587396,0.06851914539951065,-0.09786467767714424,0.0916641718129052,-0.14764780723844861,-0.004737741694263664,0.03235424271106435,0.15186585416721954,0.07920510534718761,-0.21004248667281256,-0.05074976305429768,-0.11466401162729012,-0.07589693522691587,0.20056521797968352,-0.1256664783450132,-0.09641279904630307,0.1405195962746415,0.05170441153362648,0.14086601565772705,-0.14358908142654758,0.10971700755445446,-0.07795238720789333,0.036798146645318,-0.06553014889404352,-0.11394569494184881
29,2013,9,40,-0.04104660800123783,-0.12585682310857182,0.10850566337777545,-0.03291497061754112,-0.07097376787787613,0.05168756855532086,-0.08935346426328983,-0.03306083820437966,0.03705460586113318,0.05818097459233962,0.06563340191616773,-0.1339642656947484,0.08543468084819539,-0.02680583782968493,0.012704146603007782,0.027686315040690967,0.008842493582828848,0.06286782711531802,-0.036742764793931904,-0.08528585970261915,0.16499284118678914,0.18527018566548525,-0.024254123332282718,0.2518995259281016,-0.039226882540592145,-0.026115303748295182,0.04120166133957226,-0.005877431469560546,-0.03940152326978108,-0.010936289404668176
36,2013,10,41,0.0153790935485425,-0.03645131854732686,0.026764662785896398,-0.023077459339088224,-0.03396341409823178,-0.04008568532076562,-0.023859569420797033,-0.06275776510078757,-0.06442487235704597,-0.0674595358409289,-0.030455214565099697,0.0667702832450261,-0.12991208826124823,0.09119222301178476,0.14452112784011617,-0.02309617398195052,-0.04181330101326164,-0.008239863635788436,0.09573007422922508,0.036866294469424465,-0.2050475095985469,-0.13917512535067178,0.006461839087612109,-0.1166496712586007,0.1762640110004583,-0.012252263366021476,0.010501590754681489,-0.011913577479941706,-0.0025735811213076776,0.019963458428509773
43,2013,10,42,-0.04648380441679467,-0.08747457975830242,-0.04827397740321826,0.041148217636580275,-0.12855568664459482,0.002076274257444055,0.09989583760520171,-0.021132906522305706,0.004853021002861668,-0.005084909900026746,0.05763184058057291,-0.08316014143441108,0.06522886622579871,-0.08292905179115573,-0.06337000719947916,-0.012295529447965636,0.02745768065119858,-0.036057127602260874,-0.08827366939419123,0.10465014599226463,0.05041154210028376,-0.05242406772700747,-0.09602316558712964,-0.13056015147623634,-0.11640303856012735,-0.0636818743673474,-0.07620032170053248,0.0161347797644813,-0.048218259850400846,0.004169595229388978
50,2013,10,43,0.020477805453646303,0.03699192967121667,-0.08213626356267734,-0.03628780107904195,0.09952252987871701,0.202675627348474,-0.0047270866903244,0.06940518247579575,0.015555484211385862,0.006745077880174533,0.05355176406570661,0.17245085057106047,-0.22125898316908776,-0.13203503114359594,0.09652853905105951,0.01619389939258875,0.10014790113095162,0.006235630989886332,-0.052092549983363656,-0.11189366438308457,0.004855600138702787,0.08300805707249292,0.03317427683480778,-0.05081924557272477,0.21950271015747824,0.003588638205616057,0.029828130008413556,0.012107259224359845,0.10998001038065564,0.018849839027963666
57,2013,10,44,-0.009640495100454949,0.05679093909353328,0.19012960244030697,0.08078930179024191,0.11751340929832388,-0.11572030197215544,0.11405045661668489,0.04884387258278955,-0.06882027570366622,-0.03009314534781271,0.015931394674757904,-0.0681209507183338,0.2344294283131474,0.032843636437771107,-0.3203910641738841,0.06893544933576035,-0.07820310315424384,-0.09490126560068368,0.05041592235629766,0.2563659748538154,-0.12320975319187766,-0.0018003396751157252,0.007172103330550295,0.18738784057771718,-0.16497018242308092,0.06129950353180624,-0.01665538439548686,0.027187427315768398,0.010386045367722474,0.023275868060673055
