,year,month,pct_중랑구,pct_도봉구,pct_양천구,pct_중구,pct_서초구,pct_마포구,pct_강북구,pct_성북구,pct_노원구,pct_송파구,pct_은평구,pct_관악구,pct_강서구,pct_영등포구,pct_금천구,pct_구로구,pct_동작구,pct_동대문구,pct_광진구,pct_강동구,pct_성동구,pct_종로구,pct_서대문구,pct_강남구,pct_용산구,pct_동북권,pct_서남권,pct_도심권,pct_동남권,pct_서북권
0,2013,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2013,10,0.05784127475910372,-0.025585690307729503,0.04932670566341235,0.2525390706163333,-0.005181443644331152,0.024080773364274055,0.005760041112733871,-0.03143592754660107,-0.3099002228785853,0.012263650410072602,0.03240388102548719,0.006509749222892047,-0.03630317659325222,0.08319793947019538,-0.05708239759596401,-0.0013969266900757393,-0.10323408847687232,0.0030465387113052245,0.1313603941367083,0.030462677032859764,-0.07399198968683762,0.02381236865250491,-0.033403615627211836,0.06559308139866338,0.10105694992745873,-0.01650707785642236,-0.025083714915549504,0.10695098454098018,0.024307323349793686,0.03344780871534869
61,2013,11,-0.07593433203938926,-0.021014710693072036,0.059395241575605606,-0.07333432550006902,-0.013636071878857958,0.18652279064753396,-0.11672862554876895,0.10027892224646706,0.26132643056766125,0.02101951448195427,-0.015999686984794703,0.14660890420762174,0.03223693314635612,0.16513210865595007,0.010214112584468582,0.05549014391065743,-0.0011813116070453766,0.08650203052297112,-0.0137057389520574,-0.09530336940294226,0.060217557353921425,-0.035675114314713374,0.13020017346363466,-0.013893880657138924,0.10085447791971114,0.04427233275944298,0.06833830396694096,0.10995726035844089,-0.0031779344010418598,0.11580008608188241
91,2013,12,0.19641221165804978,0.06664208682705941,0.0848626646287689,0.08577208646790946,-0.015088189398663854,-0.008873733601614697,0.18455232138723732,0.00771679624656052,0.2590386040043049,-0.004838136187171216,-0.04624037653064039,-0.050435672837608636,-0.0385249009068378,-0.20511521563902635,0.0337358011290414,0.08720256913612245,0.08273652641274465,0.2611941829635951,0.01649184232327361,0.06358910058725042,0.09112357882226751,-0.09549909500595166,0.08851911988018202,0.09270483411031116,-0.0040770231457345485,0.08738672141503212,0.023432593289924863,0.0013868748689291888,0.01773888411662461,-0.019349037734367913
122,2014,1,-0.1654640181422754,-0.07321912422366961,-0.08681796112179851,-0.038274441780706936,0.028961994993827567,-0.10016798769807111,-0.042230148165198655,-0.08928045067345003,-0.08334526860202718,0.0516759601669734,0.05326214283406494,-0.03289154613847589,0.0015953629680203196,0.41009597827493494,0.023202616131133613,-0.18292541088833703,0.02330052032927865,0.00460045848949453,0.07097397523838311,0.021353519476555727,0.19712198398592995,0.22242752076921524,-0.1423410886651113,-0.11786346368393041,-0.1209039136097998,0.006321410532109439,-0.03392542202359794,-0.039110544148823645,0.01798602307596231,-0.08595313050278375
153,2014,2,0.06069996743994577,-0.049899738274371996,0.04715103705451451,-0.155327147938628,0.015017046499412157,0.08435681398110284,-0.04991034883170453,0.07902971037649231,-0.018915322904797915,-0.021334660430061825,0.005142134679326116,0.02718316973414603,0.01692131863709667,-0.16850905674722005,-0.043919788551271544,0.09638361340024937,-0.020607896501914302,-0.2734298416590164,-0.074656816251082,-0.04815082595836406,-0.2608937096937505,-0.07890484816659327,-0.025468368742537995,0.1024991683025327,0.14745427910295517,-0.0733944545519628,0.006036145521875369,0.055794813957381395,0.017322984414522624,0.05047953841156971
181,2014,3,-0.008896924777182957,0.04980564600192583,-0.05413350836108266,0.26504267376921686,-0.03940318135507348,-0.13326783031583578,-0.021892123333901448,-0.04655362683892528,-0.05152102013618709,-0.05076596777275921,-0.010910510438477128,0.16315333162196022,-0.028458129871782978,-0.008346629128472283,0.012116588091939606,-0.09487354452161412,-0.03976460241893187,0.07531510272903397,0.027787608669939123,-0.01933958577094752,0.10681223031080123,-0.003697690385399466,0.00493055910088902,-0.05651446840035956,-0.09300156687999173,-0.0200312411157465,0.008364801428176305,-0.0616972236248301,-0.06720908706099982,-0.07144393914955771
212,2014,4,0.11838465824704292,0.009769596686917348,-0.025954289113181428,-0.16378179265002168,0.015563986005914021,0.14528023513911914,0.007465842550002044,0.020153236215980863,-0.20839453983804423,0.009711790882472426,-0.00010088763952742497,-0.1264198736765011,-0.01387214607427889,0.03205533292244378,-0.026732820097423282,0.0740784026051422,0.198550148704711,-0.07599018357309206,0.04115184024655649,0.021110745789798768,-0.022721299046463028,0.018769581902317034,0.026285195722649535,0.13443767977704457,0.0775872985770949,0.022788287405824503,0.0002532385597091569,0.03193099962488266,0.05365058990497884,0.05095301844136091
242,2014,5,-0.1616690361944766,0.06845394305055308,0.04628423909124768,-0.154403780753132,-0.022802618876295755,0.0635068499976672,0.00046371578575366,-0.0629528465906044,0.0038852292107576236,0.01498159978968494,0.03806445623741084,0.11115772989579087,-0.0362374138176762,0.018522669740971276,0.09519267428774114,0.010209068545394384,-0.07388069652880125,0.10870676046456462,-0.03117368616947014,0.028688107350223202,0.05671140518217177,0.050509263766639334,0.08252113210814693,-0.09605683886664407,0.024603975433166836,-0.045824331460927015,0.02116113057988267,-0.023245432428128376,-0.018169057029668534,0.07721245235703367
273,2014,6,0.13870641135443718,0.09516521169495351,-0.07852469261479722,0.3037460708565336,-0.001522562842311559,-0.05226530606459412,0.09022415443191378,0.06771260301078064,0.15823964701495363,-0.04279975577806161,-0.043257007722106056,0.017653106606833502,0.0037254242199593612,-0.054061469192615896,-0.05663080763100281,0.04560618491939916,0.10994762218704635,-0.004730691046223479,-0.06222381772379881,-0.05454406220859609,-0.119860742417502,0.08991052021646917,-0.047618746422001146,0.06309301518226018,-0.028318016993940542,0.03363889422482291,0.022970821394219243,0.053680545235299304,0.013662357478320342,-0.062256326160660014
303,2014,7,-0.07525022006402204,-0.05379705137929813,0.0840362362030802,-0.008345470028439772,0.06987653864382559,-0.1256475064319429,-0.11817544561542015,0.059024868806489605,-0.0051854930247832165,0.05452254708454296,-0.014685721495137805,-0.12148651316845926,0.10869559491830572,0.1484452879465088,0.019180639418177936,-0.06825440047154574,-0.1580555521001581,0.0014241058904274073,0.05254873554667783,0.0886878310469581,0.5207547083310535,-0.1279746457526153,-0.008281374428845023,-0.08994093212928833,0.016368789505922132,0.07652923886457308,-0.040874971019966067,-0.05809661596293092,0.009934347169115787,-0.060005635013441916
334,2014,8,0.18939040399396112,-0.04768653395149747,-0.0007156929343890006,0.10428748344895555,-0.058837513560529686,0.14980819922526556,0.043970891361838405,-0.031403992458763574,0.1026218917356101,-0.019635772432200715,0.07400543463323239,0.015477255529873002,-0.08224171774946387,-0.18603617692771213,-0.07253757989144127,0.05192743012005141,0.0027078894807786025,-0.07448066650723517,-0.012793072415602347,-0.015493700338048533,-0.17591129056103594,0.04719018748421222,0.06679615140363171,0.15825513742525055,0.10229336642210529,-0.02533876146037306,-0.029724432690765856,0.14002996073079332,0.043644167331226225,0.13465328083853145
365,2014,9,-0.05408871833471707,-0.032806216949190836,-0.02098967431223142,0.01569036631932219,0.05160652750055705,-0.07971689476851451,0.043254882271752226,0.03312509552244047,-0.24872750061064308,0.05357078641940749,-0.03251700947726144,0.21824237810214586,-0.05090815745032229,0.11157467566830359,0.045768753994218425,-0.06647429711233654,-0.01953180943907773,0.21701640933770672,0.023925408041066465,0.013033903618123066,-0.015946565067388896,0.01142261275160994,0.09687467776542324,-0.11110480606085216,0.026902392646255935,-0.007027046083959765,0.040277124531245656,-0.00027136676900152423,-0.02981612075326623,-0.02488334593914865
395,2014,10,-0.0013598856571819251,-0.03467363202801177,0.007653200981815544,-0.16991315849148192,0.051617947167296174,0.01205154978333245,-0.06250073793732402,-0.03258671904953203,0.1578621715912758,-0.007985937867703519,0.017112261502806314,-0.26426861522525746,0.17472351951383414,0.058872475311645855,0.075108697041125,0.021002939860608194,0.12733455709759123,-0.04844540653341356,-0.006787517888938166,0.009450451427564621,-0.01380888881524267,0.031690977084295247,-0.1788116713020067,0.01731919932266557,-0.09375185737247005,-0.015121047944475885,0.002925524914545008,-0.09256459210466372,0.014728921286264463,-0.03645458747851993
426,2014,11,-0.15414301265496977,0.00880692992203258,-0.03998368141546371,0.07883244051140093,-0.04179378692545266,0.10847751511576265,0.02436327806557048,0.2283564861457248,-0.00973748620004311,-0.0348514072378332,0.021062742490101982,0.021793050810601677,-0.05619745761948369,-0.04419446703302565,0.008704596109656793,-0.07079297128446871,-0.010001787136054485,0.1498919698991903,0.2930140839693327,-0.04725499170713787,-0.17353848570110086,-0.034483736836520396,0.1736482732792506,-0.030544484442456943,-0.028322020826634042,0.07393528405709104,-0.021656705391956743,0.0010127527620837906,-0.02889209310636265,0.08317497757543002
456,2014,12,0.07761974253656279,0.019658831344973704,0.11732573192172246,0.030756747773268422,0.01880345587635701,-0.01646635350258807,0.022119228721634077,-0.19683332095185924,0.06284233469348122,0.0030065912898076252,0.044406303633314215,0.21944772017158543,-0.02266698569176573,-0.09172777301111712,0.08534607196567046,0.03259259911303136,-0.0556873200975444,-0.14909161560863815,-0.16094842426488065,0.09714436070546695,0.21761017946453975,0.07488278541019877,-0.04573803557700484,0.13910774026913741,0.019646533163283575,-0.06629319638986164,0.04250353419284325,-0.00119902046817022,0.08766988222885796,0.01328584135001698
487,2015,1,-0.014331144131349616,0.0033317882192298587,-0.061385906280891245,0.08414755279757058,-0.00227381814534533,-0.11712565024875754,0.006002078898547092,0.03796246879909182,0.011067920332499037,-0.001135581303766009,0.004849841163773849,-0.05517687191991705,0.03912189909634933,0.3458805074747118,-0.049169129363588526,0.03236503359784049,0.3345269939567943,0.020243086666039245,0.013668687871272622,-0.05748568863283665,0.0146831072670226,0.001029861523908382,-0.008572896528703411,-0.09876060320258384,0.12252558130311586,0.030957055754346152,0.0842861156985859,0.22097442958973756,-0.08946649982261223,-0.033981112985621786
518,2015,2,0.007957995730540901,0.047823406366446,0.0008541067076344167,-0.05862719064228472,0.033330948214506995,0.057483553821269906,0.032972744887014294,0.002838032576125471,-0.16925317190536016,0.048531552432196756,-0.03217824334004815,-0.018605816472615055,-0.011547084981168187,-0.21552069288373377,-0.028362659952361313,-0.006090092181860407,0.031227840161195175,0.03157682745203738,-0.035307253608950706,-0.025947251352926415,-0.029099392666286805,-0.07324993619454512,-0.06550537422866365,0.01497267760526344,0.022948381311094224,0.0012937835478468163,-0.006548319863348029,-0.033843782213688334,0.03558128711211972,-0.02054294237587595
