,year,month,pct_de_강서구,pct_de_노원구,pct_de_성북구,pct_de_송파구,pct_de_동작구,pct_de_도봉구,pct_de_양천구,pct_de_서대문구,pct_de_강북구,pct_de_광진구,pct_de_강남구,pct_de_마포구,pct_de_영등포구,pct_de_관악구,pct_de_동대문구,pct_de_은평구,pct_de_서초구,pct_de_중랑구,pct_de_강동구,pct_de_용산구,pct_de_중구,pct_de_금천구,pct_de_구로구,pct_de_성동구,pct_de_종로구,pct_de_서남권,pct_de_동북권,pct_de_동남권,pct_de_서북권,pct_de_도심권
0,2013,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2013,10,-0.015720556846671507,-0.09351383926726442,0.03393974370158581,-0.007946740012748532,-0.04715262013610655,0.0059209410685230335,-0.029883111209433322,-0.07348089156623894,-0.015668324656144206,-0.03265539166283071,0.09009149117477144,-0.03796217483886288,0.0015243271938609748,-0.008285014278676117,0.09899646057248712,0.007406497395814782,-0.024318880777381646,-0.0712735093183291,-0.05441606325277415,0.028953278667965154,-0.14593603246505127,0.0066993506535293346,-0.051359720172397094,0.10456182134985759,0.06189775325012392,-0.027441360563682293,-0.014046925980727543,-0.0014592902350764048,-0.027624621211648548,0.010382109937317141
61,2013,11,0.03802011243891834,0.17214785235722507,0.2574128860812437,-0.005641510278211581,-0.0003097796775326511,0.04877503435097852,0.027220522504296296,-0.006375121244209692,0.03318315573005637,0.006171296310548691,0.028546349461900933,-0.05438506818851874,0.028767594393517282,0.04865375437913544,-0.10523515774996595,-0.005687504639126484,0.02205382161272773,-0.05029243571915798,0.08432997487291538,-0.02080826212642517,0.03885766333954188,0.02716562849197679,0.024010711365163973,-0.0681549410057023,-0.018713147030881006,0.033213178304808855,0.049440142604656456,0.026572655800361833,-0.02689562028766168,-0.0035934223884952488
91,2013,12,-0.0018292009321170255,0.054690880772435335,-0.05446091439066392,0.04212351046351803,0.11533037758398623,0.005955137445741832,0.04726179824374843,0.040619012262314236,0.03281462226165255,0.061838500278285746,-0.037430067005085554,0.06800746640263777,0.24631034437141697,0.07101817479345729,0.23450290563852816,-0.04047317959578389,0.05802681358702588,0.16891453754131502,0.007854197264836937,0.025474886799822682,0.026603039413121365,0.05624830251467072,0.018392181271869035,0.19794844079635054,0.0815818278190823,0.08151643395364427,0.10330873468010471,0.022569675970098402,0.03120771239786735,0.04926549931189239
122,2014,1,0.046383729437587284,0.09059495238967608,0.02165826775009183,-0.027404480405276543,0.0073314828686674716,-0.02443959701117182,0.028852706094125935,0.03250675293548633,-0.029779744536469366,0.05276448366852371,0.05644898948441024,0.06923561599724692,-0.027361109856667842,0.005278254167558227,0.08194442402920932,0.11226510165399683,0.024064225754958146,-0.0036902524148483273,0.042270893079481064,0.09149003934999689,0.2540738713223507,0.13941739605710035,0.015200630909867563,-0.04107717771162356,-0.027292511838126532,0.01843254270138983,0.026370579130307714,0.010589418262106909,0.09397526865099759,0.08020068086208032
153,2014,2,-0.031041600377705092,-0.03931441903631239,-0.07568643765197414,0.0027613648599924545,0.00011470722799167277,0.012097719933112039,-0.08134171899830778,0.0745159033470062,-0.05835709001325273,-0.02871928024819148,-0.05864383704910425,0.03191919681400357,-0.10937014944872081,-0.08300828531267868,-0.11550566754187996,-0.0007207783220354314,-0.02676818675371595,0.0004507490193896846,-0.016778250198868472,-0.01668207379625275,-0.11752539010334473,-0.0794127025973661,0.027800096805308705,-0.046662522344698254,0.029418836316524866,-0.056715319606769565,-0.046612416513417965,-0.020533101920757635,0.02077572392152982,-0.03767240902027058
181,2014,3,0.019408158094443406,-0.1305025894605515,-0.08923099939378776,-0.0026866188917935574,-0.043920361535535246,-0.010798129506237708,-0.021862954668571244,-0.04456737800867183,0.06567649416240595,-0.05164375274158728,0.04014628252014463,-0.03534140736812896,0.007782076649500036,-0.025017536612965463,-0.17597341536310396,-0.02187959039304921,-0.030613617291582185,-0.10181710161783408,-0.03861071815053396,-0.06015202393760177,-0.1825515631106912,-0.07152716242301671,0.02525356704025583,-0.09456260796087457,-0.06892598759112345,-0.01971823380256732,-0.0936214253113744,-0.009501048528473333,-0.035694056861827916,-0.08220063267148359
212,2014,4,-0.03304052249110334,-0.06700401470217399,0.01995820112005231,-0.027090675139597287,-0.06157515931237478,-0.007021098557471128,0.0598610459542408,-0.02415809848707673,-0.024778205764340422,0.013417865935361428,-0.035027419801480164,0.06406662004837038,-0.030634830516499623,-0.07428314902360611,0.03582122701632673,-0.060525609507114386,0.027396472729046994,0.016305330643825666,-0.026983286086793346,0.011005635040716166,0.10003312902067618,0.10452876929555588,0.010974232024631991,-0.008304861201412272,-6.062444458410088e-05,-0.01567714232458972,-0.005335676777335818,-0.017329660337832564,0.006048780327449599,0.017306558589904597
242,2014,5,0.002241408758781649,0.0014557235072316654,-0.07093798511563487,0.025602773474963758,0.031256947439113336,-0.010571649393114169,-0.013014772533852859,-0.013254853473964046,-0.004149464444943907,0.03808093699085058,-0.025226207983436777,-0.048598209884085475,-0.03068545638805764,0.08509870669487585,0.017075389192013013,0.015965770283002056,0.021369785645595663,-0.02218304791261394,0.021886611230004016,0.010371202452868822,0.04905582136096065,-0.047878946186082905,-0.000833167235179344,-0.06336263511067253,-0.016063586191865098,0.010093587472913113,-0.007449761693967716,0.01390486632125687,-0.020788571415689572,0.012389554600175767
273,2014,6,-0.010236271482631287,0.07974572431041849,0.09021316399324153,0.04823820617777286,-0.006089784858208325,0.016599584856495042,0.011263640795023067,0.021874416009755704,0.02000696938078561,-0.055412905519136135,0.042115180394393104,0.01743514221268394,0.046399623333283735,-0.011390936767048276,0.12024352359544266,0.023792173799797256,-0.013857149720487016,0.15263938238821217,-0.016098066137566924,0.0016532445097201531,0.028750124601505833,0.0711869801106324,-0.06963669187845067,0.053570728534607426,0.08172237083055989,0.0005497424990232869,0.048768345887221676,0.0269871861955584,0.0027815370096537784,0.03249698036333015
