,year,month,week,pct_송파구,pct_노원구,pct_성북구,pct_영등포구,pct_강서구,pct_강북구,pct_동대문구,pct_마포구,pct_구로구,pct_관악구,pct_양천구,pct_도봉구,pct_서초구,pct_은평구,pct_성동구,pct_동작구,pct_중구,pct_종로구,pct_중랑구,pct_서대문구,pct_강남구,pct_금천구,pct_용산구,pct_광진구,pct_강동구,pct_동남권,pct_동북권,pct_서남권,pct_서북권,pct_도심권
0,2013,9,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2013,9,36,0.18605847873056236,0.0009588941260632033,0.064212969421791,-0.02203559158212809,-0.05811169542257166,-0.12509210877697985,0.009205270327913073,-0.1763188681661083,-0.011305157101460184,-0.04911175126174239,0.0185471026343087,0.1803388516577631,-0.05327842287002793,-0.03667411641310825,-0.15008392336763166,-0.059055204486432755,0.12730250295205092,-0.2527517113116283,-0.1233503503418899,0.1819770431492922,-0.20832702993331353,-0.034760314639792345,0.09985380281268008,-0.09135717977625912,-0.06424253707337213,-0.05610172187896545,-0.04782881006547601,-0.0549615888294811,-0.024340213946987488,0.06414475578754275
8,2013,9,37,-0.03499894367949519,0.009043940926198202,-0.021931455802357447,-0.05844773250710722,0.002151714836081009,0.05453766315916275,0.015652172162656353,0.012694971124480814,0.18771974108813771,-0.02352434520767077,-0.07674003628433057,-0.03363556652904043,0.023539095872314952,0.09194786529613785,-0.038708675119858094,0.08649447812470257,0.06474668013095175,0.011554854209868237,0.04266769346208821,0.05480501643747626,0.0764593766740378,-0.010824552569604462,-0.019015367313074294,0.03430834725603926,0.03957668038763518,0.0020933417841242363,0.004055361765561427,0.016863978447424488,0.02538891469410509,-0.011980640738436632
15,2013,9,38,-0.012988123751301761,0.017162438991805695,0.008558191225500833,0.05956942433894974,-0.011165264741685776,-0.013328767453122281,0.0033590034896302523,0.004855408633697156,-0.15702939672554206,-0.0712056082032767,0.0011927547933181515,0.05969267445486337,-0.0050474021980353445,0.06007244400608158,0.17850309759835636,-0.036914051247809776,0.04413601809082768,0.09962405844070199,-0.01679848607830292,-0.029929425315671887,-0.124296001381762,0.11918339993363447,-0.014009539703111695,-0.06018749747700003,-0.011423183850275187,-0.02845950870256264,0.023478471054573014,-0.028495006167437387,-5.989190649580145e-05,0.02236681075900604
22,2013,9,39,-0.03007551277942122,-0.017347242325150836,0.011279365873283709,0.028990528037284413,0.047488598125996484,0.03640498524915503,0.009028160322222423,0.0003990306330579063,-0.005587896511366819,0.08712946905015984,-0.02795789086778122,-0.035028238484859475,-0.061110209179500385,-0.04546750041316494,-0.03851079561823456,0.03447115500033138,-0.008797236233080374,-0.0029045722582802247,-0.01825965167235144,0.07632131902633565,0.13806263740552027,-0.022837840481189198,-0.045205480203840076,0.07343015020391563,-0.06997136420495687,0.028274215098288202,-0.004093621064251818,0.009790779036646935,0.012647106734915425,-0.005117811183666832
29,2013,9,40,0.028432956253564567,0.009044995970433511,-0.02603492312535638,0.0049993621404045285,-0.030091321808774385,-0.03383147800814923,-0.0007073817202649657,0.007258289638227833,0.05383477157201866,-0.013872482140012576,0.081808669367893,-0.00011472880823293341,0.1898411455988016,-0.05856515036096255,-0.026842175432921,-0.027746705948233474,-0.05272206899059306,-0.029457533007603787,-0.002298257140628923,-0.021184196318110193,-0.04037059846886082,0.06074842418838866,0.06707145510237966,-0.13036021379099016,-0.01826741775615892,0.013696319245176891,-0.01484550488316383,0.0035949746806394067,-0.002394964347870232,0.010804155726434006
36,2013,10,41,0.04609540071052898,0.019264269100016218,0.009432342092563939,0.0012957071026666878,0.012588701146052594,0.039890873095792756,0.033423791953247406,0.01911070415936722,-0.054138361678100266,0.026174842289577338,-0.005594218651139515,0.0002570856343848682,-0.13958007016579854,0.048281617112056585,-0.051125371913780304,-0.05270483687601524,0.017905407741161117,0.001207368464239078,0.016213997577794625,-0.017084245755385807,0.024457367523438966,-0.08240322169883296,-0.011375527008599229,0.19264509959009146,0.06965336778240783,-0.006359068633435494,0.029661924633140657,0.0013997882988232568,0.0017769885307863387,-0.006335736428446426
43,2013,10,42,-0.043887541668518604,-0.015096189658082793,0.015599809067059045,-0.0035755594005189018,0.021063801152998884,0.006610892097522747,0.009391869373334139,-0.03979714386637756,0.0646233145327666,-0.04607660706829264,-0.037451531378570935,-0.013271048397447416,-0.017368491137885522,0.10550625322061391,0.15604864547502606,0.034335416674766917,0.030131432462065177,-0.03469339967803309,0.01525507289267769,-0.04259363867651156,0.0031686275785081097,0.10057909479881855,0.010352750327199178,-0.02144724344588189,0.04504964620211038,-0.017003388455252844,0.017381207723229597,0.005532081058660321,-0.00023796201900538883,-0.023478000501424567
50,2013,10,43,0.012577682840384519,-0.012668117421538727,-0.005726102682943823,-0.004492092787920177,0.011538810129188226,0.024329871596312724,-0.044636431282830014,-0.027839626315275035,-0.06048366427869345,-0.03474027533244228,-0.003921952261141004,0.020087112896550963,0.059200607107251946,-0.1197662187804791,-0.04962701604860986,0.029107420735510647,-0.023295885479903355,-0.01821293531648671,-0.010259756876714321,-0.020702586210884277,-0.027144787106667678,-0.10129675223014079,-0.01894595686058642,-0.03809812875107221,-0.06311295033502262,0.015956259024199726,-0.0031730063096675476,-0.002513109677941716,-0.039238024538787886,0.009903137675282725
57,2013,10,44,0.03311457796966155,0.007728040975515826,-0.006466968615034041,0.0029236033104802495,0.22655901953322033,-0.13390610670400716,-0.04944313794898181,0.004908734991457608,-0.013325925874138833,0.05641694620858173,-0.07129721983591131,-0.0407674971068448,0.02242291110233019,0.0547688324679505,-0.08758178955591667,0.012147886148416331,-0.02758469866135327,0.2343014639539771,0.0208463165390671,-0.023737586238246955,0.03178206417991003,0.014825520482689925,-0.04503246165386321,-0.10746797197060565,0.03334871298283204,0.009684699330045898,-0.06540456831387909,0.043213570069395635,-0.0011088788849845654,0.006847798449023834
