,year,month,pct_de_강남구,pct_de_강동구,pct_de_송파구,pct_de_양천구,pct_de_중랑구,pct_de_동대문구,pct_de_강서구,pct_de_성동구,pct_de_금천구,pct_de_광진구,pct_de_구로구,pct_de_서초구,pct_de_영등포구,pct_de_서대문구,pct_de_강북구,pct_de_노원구,pct_de_도봉구,pct_de_성북구,pct_de_은평구,pct_de_마포구,pct_de_관악구,pct_de_동작구,pct_de_중구,pct_de_용산구,pct_de_종로구,pct_de_동남권,pct_de_서남권,pct_de_동북권,pct_de_서북권,pct_de_도심권
0,2013,9,0.012128621548863183,0.018583095889193935,0.029246703990562395,0.11005012641709544,0.008910472675967451,0.025517329893115948,0.024173465126660965,0.014747643458048465,0.07580736983647185,-0.018594690923268598,-0.0215161197601913,-0.011618193734010851,-0.018387297012683157,0.03753948340893598,0.05297063149277825,-0.0002638436805212363,0.01303436852026607,0.04497559498361037,-0.023005481411580986,0.0032569349383828605,-0.00870407534181139,0.04821913795779853,0.032712994366468795,0.0002499128933224348,0.0049811359401636945,0.010002901495781646,0.03510562238433468,0.008909680161735656,-0.00022187545995455693,0.018979874209775538
30,2013,10,0.06541398405688503,0.027139742056299765,0.03519368822609392,0.0009387147806128038,-0.10636262114397,0.024481825668978052,-0.03711327115192864,-0.023428121374016397,-0.00879869246313758,0.03879502424369741,0.04812923364087318,0.03940388853477783,-0.00665864802413918,-0.048908206734243787,-0.01532735656349049,0.03333077308774346,-0.003362465235173917,0.009045905897578699,0.01936667575288409,0.05444558790578724,0.025214897980247564,-0.0109637030948877,0.012558749778621259,0.04511727981871361,0.025854403434665718,0.06507592470815093,-0.005239568241706016,-0.009191219945159257,0.03192245489161394,0.030675960782919454
61,2013,11,0.035936946399137026,-0.015727490261441046,0.010734011622226092,0.15386929852437348,0.06789525400910335,0.019404248036585026,0.008014857984864898,0.0767762908024312,0.01605705813770464,-0.010331579194564067,0.1019262642715606,0.010624159762818275,0.02831182732004156,0.01981967817016761,-0.004201897494145346,0.009460133599463072,0.013266476313620101,0.015055165264392434,0.035826943100010444,-0.003723547856007481,-0.004468042696550767,0.025304297442108936,0.014559233023830664,-0.04629896041959791,-0.0326112898054034,0.017197931235471087,0.06315277985550338,0.02658190226672863,0.010349132713024733,-0.0228759483458697
91,2013,12,0.03403007980708894,0.016014597391575958,0.013948978960812486,0.057464465532090836,0.03408000162301361,-0.020499603006520428,0.045357036750320434,0.005154630493372281,-0.011618662918136069,0.059367484117806235,-0.1051073451012704,0.008028312433704388,0.01827055204695216,0.05358084478887504,0.05479571918249926,0.018823378486053643,0.010587732501708746,0.0389504458060943,0.014330251107280034,0.030208642378342754,0.04042342606932059,0.003863237494022842,0.06474313774608431,0.0744225360319426,-1.0,0.03390993335191839,0.011047218128704017,0.03587419643196288,0.03917042533615711,0.08962091267345884
122,2014,1,-0.029742317639487537,0.0308324621229501,-0.017253500582889103,-0.02712339259847374,-0.027553679526831742,0.015252234099204953,-0.0010377769610456777,0.043627176606234164,0.016670271015747584,-0.026627849059396635,0.10229122390787349,0.0221636462001098,0.021137169792403432,0.001620297293102757,-0.01710844119257615,-0.01696772054286444,0.004748322237650315,-0.012125725151443278,0.0025102092574931234,-0.007339906344511649,0.010461362630971971,-0.01975258964054072,-0.06982595562132421,0.060400669590685574,inf,-0.014345216384896164,0.0133105851337596,-0.006438934963558851,-0.007809841616357893,-0.009607615667391767
153,2014,2,0.005622781433497925,0.002479298362495941,-0.017691068014443867,0.0024382582274979914,0.01566900445625663,0.013984703692482503,0.02370648910189943,0.004265299183252802,-0.007712880196491412,0.020077905517188244,0.011424416161685436,-0.04806421642154002,0.022481894947669723,-0.031574913240955405,0.051403654678399135,0.002994470737578636,-0.013089123539021585,-0.0012871934663636342,-0.0007238133615178333,0.011969846687395425,-0.016741024238251856,-0.0035547329513200276,-0.017574020649081645,-0.009972866190174678,-0.051315190432311475,-0.020967437281556478,0.008165611619337154,0.0010486081013159065,-0.0030734127045141113,-0.020911059492383255
181,2014,3,-0.01175007729016242,0.015109915116434891,0.019401290260119497,-0.04817148211851463,-0.11278137658328413,0.034157209343044226,-0.008171072280308334,-0.02281533124658297,0.01613659285860347,0.008036927669055949,-0.0008355440128026137,0.03445878936829905,0.03526552189762233,0.01803708970983342,-0.04449829444213915,-0.003520590033070481,0.00587177251024662,-0.007214719230318356,-0.03854524273809212,-0.022784935292609942,0.020229378581175794,0.010019488522298836,-0.004368995179017343,-0.03942354454586239,-0.02101728804337888,0.011162520890545036,-0.007966853580077538,-0.020502122005335743,-0.02607442871736232,-0.024516071158193098
212,2014,4,-0.04459827485520362,-0.00759248673059143,-0.005566672397823269,-0.0012575165832685586,0.12739447789031,-0.033779213796429564,0.007512042108975381,0.007128381769129,2.0975834216230282e-05,0.026954695654406224,-0.006606397443487677,-0.014787156730083129,-0.007929616063073297,0.04947680096063878,0.04262727447919534,-0.0014165393963598838,0.011148147974204603,0.037057870878090204,-0.06677082924184996,0.022840348751209216,-0.025263490417228196,0.004097627158935024,0.03652539478723216,-0.009708919380142733,-0.013937070982753319,-0.01254883028437348,-0.0047575307380908205,0.025736198588476755,-0.04219140501034602,0.004805218392805344
242,2014,5,0.01877268766406992,-0.015737791124781353,0.04666161982979089,0.009808109027077627,0.04103042748952879,0.0038921776777021133,-0.04047694105328825,0.002217534185950054,0.029791541042117897,-0.0134700162470488,0.007095711698112295,0.017725178849324452,-0.014952546995942728,-0.07868930805154228,-0.03773562857829771,-0.005667395218240889,-0.01692511556667442,-0.035162409025839336,0.10756960417391581,0.017223993304095186,-0.0125080454035702,0.0080768438124732,-0.01771959537008927,0.029708263255020517,0.058815953315250136,0.016241009131077844,-0.0025835810417518257,-0.012530184073244022,0.07309297891912436,0.02107581068502884
273,2014,6,0.036827193721271856,-0.027626871288208954,0.002141520967708699,-0.012366007856407735,0.015756029946369265,0.06967454606536871,-0.026679397879301292,0.038558323018832885,0.014959821266465001,-0.009739742946543783,0.020325033850749685,0.023362116051463433,-0.0035885941417195255,0.04137597729574294,0.043506182410647076,0.01552769116917263,0.0127988642200636,-0.011727684728875198,-0.039061421108575356,0.0064164580542394045,0.02949311345665695,0.02592170984563391,-0.03243278239760394,-0.02750428732082244,0.021739785502955744,0.020649111971443812,-0.005340488656722542,0.023570230861334585,-0.0010183965684337215,-0.023725157571753086
