,year,month,pct_de_강남구,pct_re_강남구,pct_de_강동구,pct_re_강동구,pct_de_송파구,pct_re_송파구,pct_de_양천구,pct_re_양천구,pct_de_중랑구,pct_re_중랑구,pct_de_강서구,pct_re_강서구,pct_de_동대문구,pct_re_동대문구,pct_de_서초구,pct_re_서초구,pct_de_구로구,pct_re_구로구,pct_de_금천구,pct_re_금천구,pct_de_성동구,pct_re_성동구,pct_de_영등포구,pct_re_영등포구,pct_de_강북구,pct_re_강북구,pct_de_도봉구,pct_re_도봉구,pct_de_노원구,pct_re_노원구,pct_de_성북구,pct_re_성북구,pct_de_마포구,pct_re_마포구,pct_de_은평구,pct_re_은평구,pct_de_관악구,pct_re_관악구,pct_de_용산구,pct_re_용산구,pct_de_동작구,pct_re_동작구,pct_de_종로구,pct_re_종로구,pct_de_중구,pct_re_중구,pct_de_서대문구,pct_re_서대문구,pct_de_광진구,pct_re_광진구,pct_de_동남권,pct_re_동남권,pct_de_서남권,pct_re_서남권,pct_de_동북권,pct_re_동북권,pct_de_서북권,pct_re_서북권,pct_de_도심권,pct_re_도심권
0,2013,9,0.18069955689408768,-0.06378375397511082,-0.017785407282598586,-0.13910921293471679,0.11211528333992704,-0.00745033419805452,0.11368083158467601,0.18128441945121154,0.11766313528879513,-0.02628177509694074,-0.07646096943933411,0.17699136100565127,0.13826664848546644,-0.1357439535345235,-0.09211696755458343,-0.03292111562375932,0.19226198194891553,0.11493057119378314,0.23675865086150782,-0.1457063574649422,0.21841549314688935,-0.04089205739877533,-0.08747083950553103,0.025696465696465554,-0.001640486549655984,-0.14601226993865046,0.24289655983382552,-0.11426322251661092,-0.06836009105845164,0.08212560386473444,-0.08031275607757415,0.10806304718256077,0.06970922152539782,-0.027035204846781125,-0.05608820151179705,-0.2457470262348308,0.16717287934610336,-0.10900447731433682,-0.26210950295593116,0.23310629849675424,0.06075995868966899,-0.04241702756511523,-0.07081087087779825,0.08991093366093361,-0.07981588346234525,-0.16731363593211057,0.08122618285508887,-0.09115062560509668,-0.002578801668454034,0.062470048809348144,0.05819023944412538,-0.06170396475066642,0.03077816793558741,0.0652103971545126,0.04001090630843107,-0.02131336546023721,0.025667996265641424,-0.11158702982427071,-0.1712000243025339,0.009484628256942074
30,2013,10,-0.038979842612258064,0.1286886813275372,0.1659335506207844,0.14422807509106228,0.0004789639503568477,-0.0042216933108661925,0.07210998628366805,0.12049168040773517,0.1048304048610249,0.07433628318584029,0.09842634854836563,0.05944052965900415,-0.10146890675408793,0.07672008963980392,0.09387139434459923,0.05192285002825403,-0.03690167949889167,-0.02656013100363941,-0.020174342693372593,0.26085786375105147,-0.15429626908891647,-0.0056484645186322124,0.09397211552649676,-0.018706889024709517,0.022296457224356914,0.2638038696976224,0.01853428140027691,0.03947654012504187,0.11972876304372981,-0.010144927536232196,0.1188089971196471,-0.058539091240513264,0.22425619077196401,-0.1054403647049128,0.08485333695375918,0.11431721082871449,0.07384861242237939,-0.08378039523399317,0.05792924271868949,-0.12940260354969357,0.010111751844630534,-0.0409002747388838,0.26499725840730615,-0.1459838942804046,0.4581546051124248,-0.09751810083015355,-0.03789777901094449,-0.049411700472277054,0.0008802649363532922,-0.015259508844683856,0.052012447192220757,0.11446844705165593,0.054389458961565884,0.002900604046799371,7.962816267648165e-05,0.023675766170488055,0.14978190146231274,-0.029982208647217456,0.2581370259133502,-0.1175945524424884
61,2013,11,0.14781323667347812,-0.001064283306986935,-0.18298860166358077,-0.031377641965877556,0.045778285237450644,-0.0773235970334396,0.16102524698188536,-0.002393496694348407,-0.05608685565382465,-0.27389121664569516,-0.15489088696816067,-0.10226106259575729,0.07328534417064825,0.07007639573850244,0.14981292889929243,-0.16741545366759802,0.0395359811644207,-0.06087795503195281,-0.01931660498622656,0.21550974528641964,0.14504292293992127,-0.021355031341334207,0.0039509075177994735,0.08256644164690163,0.2096753348990381,-0.23907447973713059,-0.07154414486867466,0.03369955659188428,0.0038594695018123737,-0.008428753888396256,0.11241263261500523,-0.11477296034497464,-0.1899128270036876,0.28776637113081294,0.03740783751687715,0.3541539073374427,-0.08436269684111841,0.14223904643230223,0.22981870395097848,-0.1306705094515559,-0.020349372969343915,0.0864619542584204,0.18666246066354542,0.013527562862669207,0.17747807852857278,-0.07446985904299674,0.011749683611621542,-0.013421890134219239,-0.051507674497113576,0.0824534257279157,0.08984655760594751,-0.050731974388796286,-0.008929804397441177,0.026627294519566247,0.08294427712491781,-0.04655165620830548,-0.11536511175292463,0.18817027238451622,0.16743142256268206,-0.09345395811404211
91,2013,12,0.1432375531866028,-0.1533103607434262,0.12309497302213468,-0.05442299239817494,0.19659617854413236,-0.08519386971966991,0.06446095198660617,-0.07285714285714251,-0.24733141056650199,0.9072439920703954,0.14942373997259617,-0.2238743882493388,0.03992819249599622,-0.0811269807696352,0.040966468051149896,0.08616402075621088,0.008952209123856303,-0.10190692458689021,-0.1228310922687289,0.6017163719121905,0.2969920620695221,-0.1468904860085084,0.01758154287371072,-0.04839499691068516,-0.1534837459906615,0.3771814910180544,-0.012761649845449363,0.1371459972916209,0.13429095463872098,-0.000849766001687402,0.028151758199735033,0.07414666497720646,-0.005208065871120771,-0.1483726608027922,-0.09391752892374539,-0.3695807954138304,0.20536694115312693,-0.04816085143234783,-0.1721098642377965,0.15842194387030895,-0.08782445426892804,0.16858187990432905,-1.0,-1.0,-0.12035038818552701,0.2084592745784284,0.02591517971886348,0.18793828892005604,0.09312867094935684,-0.08211222846197386,0.15134573730675283,-0.07113759836731692,0.04322364568022219,-0.029210664832467148,0.07645923959319068,0.06274922522689752,-0.021478789832696465,-0.13630007976450953,-0.09792343568554396,0.19715971552284972
122,2014,1,-0.1069411844569449,0.07077972786010811,0.07006693499000871,0.3383753289751277,-0.11361475144935329,0.06452962858642342,0.08208655379826846,-0.05190045157240297,0.38120271289165775,-0.4175542537611504,-0.018336905022857564,0.27492453781475623,0.002646671618520058,-0.026588575139275483,-0.04477343004712442,-0.014165272089652126,0.043211599576192805,0.20345742254913746,0.019664347331553422,-0.4720283626667461,-0.18848428877899426,0.2719784202749045,0.0354822424953638,0.04725055432372538,-0.0005150698454315927,-0.32086772906188465,0.05534680040256035,0.019835037447781367,-0.04065757740665088,-0.028574928533774968,-0.12468821816090292,0.026908096028737116,0.13195748233544413,0.048039392301687744,0.11949557142743017,0.5015301549828417,-0.06501844823290814,0.2626979197314936,0.2632341414282844,0.024702021074452185,0.06542929812185405,-0.12688090141196207,inf,inf,-0.1487700858247728,-0.0253356814729917,0.141139060334889,0.25955056179775315,-0.05691253148449893,0.16204529031878145,-0.09589813887143717,0.06330041467151992,0.044022486007239126,0.07707141315406552,-0.07531959660302867,-0.029575836698811253,0.1523119974716809,0.22996012514151243,-0.014892976178452866,0.025243155113284566
153,2014,2,-0.029854177746547972,0.04383894473698158,0.11500394346503184,-0.11793480990407246,-0.06360192870745396,0.01844676370899001,-0.03638551594573569,-0.01924073182037156,0.03493050369384387,0.13414619831558028,0.19471537244476322,-0.09780328136669192,0.03325778896487175,0.0501527839717224,-0.052633890576038844,-0.0402193419803879,-0.07236332449552585,0.1124575551782685,-0.08081360590574616,0.02476380074571849,0.11060447887700886,-0.08076272572387955,0.058563380477701044,-0.01052578853969921,0.08020283619893642,0.25608890990777966,-0.04772451358275509,-0.008394882806245563,0.03483967296978441,-0.03275500746497051,0.15089236114263915,-0.08984500725792266,0.0038615814994400477,0.03497187543106528,0.050109787921326365,-0.10081137249094985,-0.17259154732460058,0.2604530950470674,-0.044009652957382905,0.015188003724753596,0.07618669122671329,0.04835772039963926,0.2984980475978274,-0.1488544891640866,0.07798383064114711,-0.03633589573496787,-0.10400409822566614,-0.16911886804839504,0.14836178305275394,-0.13862231335915554,-0.036223657955558375,-0.0053324694287509855,-0.018974171734791323,0.03186735487135195,0.06246549439894489,-0.019037127726560632,-0.011498761872903107,-0.05217448842053751,0.05132144908762193,-0.029630481652479945
181,2014,3,-0.12031089864860911,0.03248005737564208,-0.0870275127129152,0.04836168872085622,-0.02365965252357527,0.03656289366147325,-0.14610329304169767,-0.01785040165049845,-0.08093642918944866,0.08132261700712307,-0.11270731126929678,0.12308653971052252,0.031369972433860305,-0.18071063761286632,0.07155395765510408,0.01134202491317593,0.045662130446102456,-0.10023001004505472,0.36409797271459743,-0.23139889793881252,0.012506714455633006,-0.0445761291940987,-0.08434929222306209,-0.06922740688559093,0.007573102809216081,-0.009347735770669496,-0.057366889442024394,-0.10642371265652328,-0.05587541825653508,0.00509544357367564,-0.02010431510474686,0.06349644376349128,-0.10872270223062863,-0.218500265242911,-0.04534482580337951,-0.14013063072564047,0.2475205124421247,-0.2333923651300681,0.11668213283567996,-0.10521468495935005,-0.047674753344259635,-0.1594611504820278,-0.0027893836724209864,0.21228933370320102,-0.15571236501278674,0.006280189537329228,-0.024781385587765103,0.16792140641158126,0.07962196891462314,-0.02385396975425369,-0.05320462004889148,0.019195042212719393,-0.013540019951837401,-0.08840545326738503,0.01852515599042759,-0.016242074089400593,-0.07070239750037399,-0.12599662137162115,-0.0137368724060134,0.01906778063190595
212,2014,4,-0.010545043938227638,-0.0490801093570955,0.04384550463725012,-0.10995404749008408,0.0029583243080695265,-0.05529048647485657,-0.11243100571829745,0.057735242905830875,-0.09432095837267196,-0.026906445261651313,0.011261942465067287,-0.07111593083605783,-0.10471653308392948,0.012877752689665511,-0.04176795315157844,-0.003725892591126878,-0.0928655027202514,-0.023028422957441896,-0.13078869588262632,0.008861089392754318,-0.049771812889550016,0.04490218516702105,-0.024708994324348588,0.00678476308581355,0.22111188634040202,0.05634604439385349,0.06593985344708142,0.019825910501151345,-0.03766432390788743,-0.009461962894620202,0.042006024409326326,-0.023624198129999496,0.1038181501876474,0.20230933931484385,0.0018596561669781408,-0.007365386282131459,-0.13371286119278292,-0.0006303734182885323,-0.07607074575622408,0.011141057151736522,0.03543870027218343,0.10741900658038328,0.054755674072894944,-0.09644720995584088,-0.01810528640466269,0.18070328743182507,0.045046752408688606,-0.28210823395161366,-0.02956096849544232,-0.04633620689655171,-0.005715130997476114,-0.03615663738512298,-0.05048500074147766,-0.001013640580498798,-0.022453411912409904,6.528791187676575e-07,0.0556115323062889,0.017932436130827067,-0.03575882550840881,0.002017879903324582
242,2014,5,0.08634965855915122,-0.038679859106881764,-0.1328009971039842,0.027162515441409463,0.05461927685192891,-0.014501397949674422,0.10159848673075067,-0.03503023392345761,0.28552968235168597,-0.14854432145846863,-0.13912171740269785,-0.09528894250226949,-0.08775172380702922,-0.06269028578387603,-0.031418203129840894,0.08504618292735322,-0.057780284197366916,0.015055564366476482,-0.031033940263285875,-0.04556962025316447,-0.0639071539459124,0.004907092907092903,0.01261781526430883,-0.06278525404389601,-0.3589581198801258,-0.22373784324942725,0.13782882915379124,-0.0902273711404512,0.05040906079607055,-0.02075149084190453,-0.16712483634909947,-0.08661683484309957,-0.17982068429703113,0.06172810662139305,-0.21164796004047104,0.0151473670876765,-0.02243446001865046,-0.13472067545323352,0.006051994822454665,0.10884892720590944,-0.0949226624818662,-0.023342990537329467,-0.21783171704212434,-0.015650338775963668,0.010158741657709802,0.07869513484928659,-0.24373532631958128,0.0422091123198125,0.07153456364730015,0.008276072682852798,0.01636704777908382,-0.012125085262661761,-0.03817410992681669,-0.06840014854907472,-0.058278093752939575,-0.06996731694875302,-0.24368867583670495,-0.01580493062104249,-0.03104309677377548,0.09066420509377782
273,2014,6,-0.12286016964447033,0.046778766874584266,0.18250093262303513,0.017680772699939062,0.0608317303492818,0.041207910088009836,-0.042485662932388424,0.05212958654988453,-0.11405848674728214,0.3389755796526497,-0.11945633365431518,0.2050337927534629,0.07575493273291145,0.23825833705523225,-0.03723917434853774,0.04037818059725984,0.03313595476171938,0.16848773215663182,0.09151504333477956,0.2783105488675779,0.17471459821719204,-0.025902073050993346,-0.011864953476317885,0.022345651835987024,0.16521400346419757,0.004218388951581886,-0.15065466157269325,0.04169624868080213,0.020559221870402045,0.015462619986028159,-0.039054664605365,0.003538086787836736,0.19966847791345121,-0.03454840050043895,0.04176797623416695,0.21877583042631654,-0.0965723692933046,0.33748970637037345,-0.09749866345738245,-0.0941378387357541,0.24775826622201125,-0.11190043561131058,0.1416485616339358,0.20084404373681197,0.11290019258676276,-0.23229809513847743,0.10131844892261421,0.0050584594860014764,-0.23485277114954106,0.11485961740383788,0.0003089165309837494,0.04441974601063636,0.02362433493755889,0.12257106446513921,0.02149531756790224,0.059624930606018145,0.17934620215700847,0.08414150693292788,0.01303609472098688,-0.0923599660875476
