,tradeYMD,buildYear,gu,dong,aptName,jySize,floor,price,add1
0,20150119,1998,종로구, 필운동,파크뷰타워,24.3,3,11000,285-5
1,20150116,2008,종로구, 사직동,광화문 풍림스페이스본,39.54,10,28000,9
2,20150120,2008,종로구, 사직동,광화문 풍림스페이스본,39.54,7,30800,9
3,20150105,2004,종로구, 내수동,경희궁의 아침 3단지,37.5,10,26500,72
4,20150107,2004,종로구, 내수동,경희궁의 아침 2단지,32.43,16,26000,71
5,20150107,2004,종로구, 내수동,용비어천가,33,7,25000,75
6,20150116,2004,종로구, 내수동,경희궁의 아침 3단지,37.5,11,27000,72
7,20150118,2004,종로구, 내수동,용비어천가,37.67,16,31000,75
8,20150127,2004,종로구, 내수동,경희궁의 아침 3단지,37.5,5,26700,72
9,20150127,2004,종로구, 내수동,용비어천가,37.56,8,27900,75
10,20150129,2004,종로구, 내수동,경희궁의 아침 3단지,62.92,9,43000,72
11,20150131,2004,종로구, 내수동,경희궁의 아침 3단지,37.5,14,26000,72
12,20150113,2005,종로구, 신문로1가,광화문오피시아빌딩,41.71,18,39000,163
13,20150105,2004,종로구, 수송동,두산위브파빌리온,35.22,7,24300,58
14,20150107,2004,종로구, 수송동,두산위브파빌리온,37.42,7,25200,58
15,20150109,2004,종로구, 수송동,두산위브파빌리온,53.74,3,29500,58
16,20150113,2004,종로구, 수송동,두산위브파빌리온,35.22,13,24400,58
17,20150116,2004,종로구, 수송동,두산위브파빌리온,49.4,3,30000,58
18,20150116,2004,종로구, 수송동,두산위브파빌리온,53.02,5,32900,58
19,20150122,2004,종로구, 수송동,두산위브파빌리온,72.21,10,42800,58
20,20150128,2005,종로구, 수송동,로얄팰리스스위트,135.01,4,130000,85
21,20150130,2004,종로구, 수송동,두산위브파빌리온,61.47,13,41000,58
22,20150109,2007,종로구, 종로1가,르메이에르종로타운1,81.01,15,60000,24
23,20150113,2007,종로구, 종로1가,르메이에르종로타운1,45.41,13,32500,24
24,20150120,2007,종로구, 종로1가,르메이에르종로타운1,45.41,11,31000,24
25,20150129,2007,종로구, 종로1가,르메이에르종로타운1,45.41,17,33000,24
26,20150129,2007,종로구, 종로1가,르메이에르종로타운1,45.41,13,33000,24
27,20150107,2005,종로구, 경운동,운현궁 에스케이 허브,35.36,7,23000,89-4
28,20150128,2005,종로구, 경운동,운현궁 에스케이 허브,23.87,3,18000,89-4
29,20150129,2005,종로구, 경운동,운현궁 에스케이 허브,38.59,6,24000,89-4
30,20150106,1994,종로구, 낙원동,종로오피스텔,20.25,10,9500,58-1
31,20150107,1994,종로구, 낙원동,종로오피스텔,25.12,9,12000,58-1
32,20150106,2003,종로구, 원남동,코윈 팔레스뷰 오피스텔,24.03,10,13400,95
33,20150128,1996,종로구, 창신동,금호팔레스,39.29,14,15000,327-2
34,20150113,2005,종로구, 숭인동,동양파라빌,27.09,9,11950,1388
35,20150116,2004,종로구, 숭인동,롯데캐슬 천지인,39.6,9,22500,76
36,20150118,2014,종로구, 숭인동,디세븐,15.46,8,11957,313-12
37,20150122,2012,종로구, 숭인동,삼전솔하임2차,18.87,2,11000,296-19
38,20150124,2004,종로구, 숭인동,롯데캐슬 천지인,39.6,17,22900,76
39,20150127,2014,종로구, 숭인동,디세븐,13.44,10,10800,313-12
40,20150127,2013,종로구, 숭인동,버넷하임1,25.88,8,13400,1421
41,20150127,2005,종로구, 숭인동,동양파라빌,27.09,5,12000,1388
42,20150128,2004,종로구, 숭인동,롯데캐슬 천지인,39.6,14,22500,76
43,20150121,2002,종로구, 부암동,타임730오피스텔,31.27,3,12600,129-8
0,20150113,2008,중구, 을지로2가,명동아르누보센텀,26.81,8,25000,199-40
1,20150119,2008,중구, 을지로2가,명동아르누보센텀,44.3,5,35500,199-40
2,20150123,2008,중구, 을지로2가,명동아르누보센텀,44.11,6,35500,199-40
3,20150126,2006,중구, 을지로7가,라모도 쇼핑몰,23.23,12,11300,105
4,20150116,2013,중구, 흥인동,	(91)	,24.85,12,16000,91
5,20150106,2004,중구, 황학동,올리브1,25.05,12,12000,808
6,20150117,2004,중구, 황학동,신당역올리브2,23.82,15,13000,2484
7,20150123,2014,중구, 황학동,블루카운티Ⅱ,48.42,3,24000,1628
8,20150127,2004,중구, 황학동,신당역올리브2,23.82,12,12000,2484
9,20150130,2004,중구, 황학동,신당역올리브2,23.82,8,10200,2484
10,20150105,2005,중구, 의주로1가,바비엥-2,29.23,13,21200,25-10
11,20150112,2005,중구, 의주로1가,바비엥-2,29.23,10,21200,25-10
12,20150104,2004,중구, 만리동2가,KCC 파크타운,66.47,14,32550,11-1
13,20150110,2004,중구, 만리동2가,KCC 파크타운,66.47,13,29500,11-1
14,20150112,2004,중구, 만리동2가,KCC 파크타운,66.47,7,29000,11-1
15,20150115,2004,중구, 만리동2가,KCC 파크타운,66.47,6,28900,11-1
16,20150124,2004,중구, 만리동2가,KCC 파크타운,66.47,15,29300,11-1
17,20150129,2004,중구, 만리동2가,KCC 파크타운,66.47,4,29400,11-1
0,20150105,2004,용산구, 서계동,서울역풍림아이원플러스,41.24,9,26800,219-17
1,20150120,2004,용산구, 원효로1가,디아뜨 센트럴,25.19,7,14100,112-4
2,20150122,2004,용산구, 원효로1가,디아뜨 센트럴,25.5,11,14400,112-4
3,20150124,2004,용산구, 원효로1가,디아뜨 센트럴,25.5,10,14300,112-4
4,20150115,2014,용산구, 원효로3가,아인하우스,23.04,5,17701,277-36
5,20150115,2014,용산구, 원효로3가,아인하우스,23.04,6,17900,277-36
6,20150116,2014,용산구, 원효로3가,아인하우스,23.04,8,18600,277-36
7,20150119,2014,용산구, 원효로3가,아인하우스,26.88,8,19701,277-36
8,20150119,2014,용산구, 원효로3가,아인하우스,23.04,7,18301,277-36
9,20150107,2007,용산구, 문배동,이안용산프리미어,24.78,7,17500,3-3
10,20150108,2005,용산구, 문배동,이안 용산1차(11-14),61.06,3,33000,11-14
11,20150109,2005,용산구, 문배동,이안 용산1차(11-29),30.04,9,17800,11-29
12,20150117,2005,용산구, 문배동,이안 용산1차(11-29),30.04,5,17000,11-29
13,20150121,2013,용산구, 문배동,용산큐브,17.46,4,15000,24-4
14,20150122,2013,용산구, 문배동,용산큐브,17.46,11,15600,24-4
15,20150123,2007,용산구, 문배동,이안용산프리미어,60.75,7,36500,3-3
16,20150130,2013,용산구, 문배동,용산큐브,17.46,7,14500,24-4
17,20150102,2005,용산구, 한강로1가,용산파크자이,39.03,5,27000,50-1
18,20150112,2005,용산구, 한강로1가,용산파크자이,39.03,13,27000,50-1
19,20150117,2005,용산구, 한강로1가,용산파크자이,42.39,9,33500,50-1
20,20150120,2005,용산구, 한강로1가,용산파크자이,28.46,12,21200,50-1
21,20150124,2005,용산구, 한강로1가,용산파크자이,37.26,23,29400,50-1
22,20150130,2005,용산구, 한강로1가,용산파크자이,36.13,11,23850,50-1
23,20150103,2005,용산구, 한강로2가,한강로벽산메가트리움,29.54,3,17000,2-8
24,20150112,2005,용산구, 한강로2가,한강현대하이엘,41.8,5,24000,2-36
25,20150113,2005,용산구, 한강로2가,한강로벽산메가트리움,32.15,12,20500,2-8
26,20150119,2004,용산구, 한강로2가,대우디오빌한강로오피스텔,33.95,11,20500,312-4
27,20150120,2005,용산구, 한강로2가,한강로벽산메가트리움,29.54,12,20000,2-8
28,20150126,2005,용산구, 한강로2가,한강현대하이엘,30.03,12,17900,2-36
29,20150130,2005,용산구, 한강로2가,한강로벽산메가트리움,29.54,23,19900,2-8
30,20150120,2009,용산구, 용산동5가,파크타워,84.3,16,60000,24
31,20150113,2007,용산구, 한강로3가,용산 시티파크(63-387),43.77,3,39700,63-387
32,20150114,1991,용산구, 한강로3가,삼구빌딩,39.84,12,11000,16-49
33,20150115,1991,용산구, 한강로3가,삼구빌딩,52.8,11,12500,16-49
34,20150119,1991,용산구, 한강로3가,삼구빌딩,49.44,19,15000,16-49
35,20150119,1991,용산구, 한강로3가,용산전자오피스텔,30.03,10,6100,16-58
36,20150121,2004,용산구, 한강로3가,한강대우트럼프월드3,49.66,10,36500,65-230
0,20150103,2011,성동구, 하왕십리동,리오파크 오피스텔,23.88,10,13400,898-2
1,20150114,2009,성동구, 하왕십리동,왕십리 모노퍼스 주상복합,38.67,8,15300,286-2
2,20150123,2011,성동구, 하왕십리동,리오파크 오피스텔,22.11,13,13900,898-2
3,20150123,2011,성동구, 하왕십리동,리오파크 오피스텔,23.88,4,13970,898-2
4,20150106,2014,성동구, 도선동,J&J빌딩,29.1,8,17800,276
5,20150112,2014,성동구, 도선동,J&J빌딩,29.8,6,17300,276
6,20150111,1988,성동구, 마장동,	(797-16)	,24.6,3,8900,797-16
7,20150103,2004,성동구, 행당동,성동샤르망,24.84,6,14000,192-29
8,20150107,2006,성동구, 행당동,왕십리역이스타빌,26.01,7,17800,287-15
9,20150116,2004,성동구, 행당동,성동샤르망,27.6,9,15300,192-29
10,20150120,2006,성동구, 행당동,왕십리역이스타빌,26.22,5,17300,287-15
11,20150103,2003,성동구, 성수동2가,성원상떼뷰오피스텔,24.84,5,11600,277-37
12,20150115,2003,성동구, 성수동2가,성원상떼뷰오피스텔,28.08,5,12900,277-37
13,20150121,2003,성동구, 성수동2가,성원상떼뷰오피스텔,28.08,5,12000,277-37
14,20150122,2003,성동구, 성수동2가,성원상떼뷰오피스텔,28.08,10,12600,277-37
15,20150128,1998,성동구, 성수동2가,성수아카데미타워,33.45,12,14100,277-17
16,20150128,1998,성동구, 성수동2가,성수아카데미타워,33.45,10,14000,277-17
17,20150107,1991,성동구, 용답동,삼호오피스텔,26.25,5,5100,236-5
18,20150109,2006,성동구, 용답동,신창비바패밀리,60.45,15,23500,232-1
19,20150112,1991,성동구, 용답동,삼호오피스텔,26.25,8,4600,236-5
20,20150126,1990,성동구, 용답동,	(228-1)	,23.43,9,4500,228-1
0,20150107,2006,광진구, 구의동,현대13차폴라트리움,56.39,2,24700,199-23
1,20150109,2002,광진구, 구의동,다성리버텔,29.97,2,16300,218-12
2,20150114,2006,광진구, 구의동,크레신타워3차,25.35,13,15600,246-14
3,20150127,2003,광진구, 구의동,센트럴빌,32.19,4,14900,253-19
4,20150130,2002,광진구, 구의동,다성리버텔,33.97,6,17000,218-12
5,20150113,2003,광진구, 광장동,효성리버카운티,27.8,7,11550,108
6,20150115,1991,광진구, 광장동,현대골든텔(102-0),50.37,8,18900,102
7,20150119,2003,광진구, 광장동,효성리버카운티,27.8,5,11500,108
8,20150126,1991,광진구, 광장동,현대골든텔(102-0),24.71,11,9300,102
9,20150116,2014,광진구, 자양동,타워더모스트광진아크로텔,23.97,16,18800,779
10,20150122,2014,광진구, 자양동,타워더모스트광진아크로텔,23.97,8,18300,779
11,20150127,2014,광진구, 자양동,타워더모스트광진아크로텔,31.1,8,23550,779
