,tradeYMD,buildYear,gu,dong,aptName,jySize,floor,price,add1
0,20140103,2008,종로구, 사직동,광화문 풍림스페이스본,39.54,10,29800,9
1,20140120,2008,종로구, 사직동,광화문 풍림스페이스본,39.54,3,31500,9
2,20140113,2004,종로구, 내수동,경희궁의 아침 3단지,37.5,7,27500,72
3,20140122,2004,종로구, 내수동,용비어천가,37.56,10,26600,75
4,20140127,2004,종로구, 내수동,용비어천가,45.98,9,26000,75
5,20140113,2005,종로구, 신문로1가,광화문오피시아빌딩,46.77,19,46000,163
6,20140106,2004,종로구, 수송동,두산위브파빌리온,72.21,10,42000,58
7,20140121,1998,종로구, 운니동,오피스텔월드,23.76,11,7000,65-1
8,20140105,2005,종로구, 경운동,운현궁 에스케이 허브,41.12,4,24800,89-4
9,20140106,2005,종로구, 경운동,운현궁 에스케이 허브,42.69,3,24500,89-4
10,20140106,2005,종로구, 관철동,종로1번가,24.64,14,17000,155
11,20140110,2005,종로구, 관철동,종로1번가,24.64,9,16000,155
12,20140102,2004,종로구, 낙원동,나스빌,28.69,4,13100,212
13,20140129,2003,종로구, 원남동,코윈 팔레스뷰 오피스텔,21.01,6,12000,95
14,20140123,2003,종로구, 효제동,반도 보라 아이비 타워,31.31,3,15300,45
15,20140102,2001,종로구, 연건동,대보마로니에텔,26.52,4,13000,206
16,20140102,2001,종로구, 연건동,대보마로니에텔,26.52,7,13000,206
17,20140114,2011,종로구, 충신동,CS타워,43.16,3,16000,62-2
18,20140107,2005,종로구, 숭인동,동양파라빌,27.09,13,12500,1388
19,20140107,2005,종로구, 숭인동,엘리시앙오피스텔,30.36,8,12200,200-33
20,20140114,2013,종로구, 숭인동,종로 중흥 S클래스,22.44,4,12500,202-3
21,20140116,2013,종로구, 숭인동,종로 동광모닝스카이,19.95,5,9929,1421-1
22,20140116,2013,종로구, 숭인동,종로 중흥 S클래스,23.97,3,12600,202-3
23,20140120,2005,종로구, 숭인동,동양파라빌,54.81,9,23800,1388
24,20140120,2013,종로구, 숭인동,종로 중흥 S클래스,23.97,3,10336,202-3
25,20140120,2013,종로구, 숭인동,종로 중흥 S클래스,23.97,4,10336,202-3
26,20140127,2013,종로구, 숭인동,종로 동광모닝스카이,19.95,5,11158,1421-1
27,20140127,2003,종로구, 평창동,오피스텔 천지인,23.4,5,8600,289-5
0,20140116,2008,중구, 을지로2가,명동아르누보센텀,35.92,7,29500,199-40
1,20140109,2009,중구, 장충동2가,아도라타워,52.2,6,24000,173-2
2,20140111,2004,중구, 을지로5가,삼성골드캐슬,30.5,5,13000,273-2
3,20140127,1997,중구, 오장동,넥서스타워,27.84,9,9900,206-3
4,20140117,2006,중구, 신당동,디오트,26.46,7,15500,193-2
5,20140117,2006,중구, 신당동,디오트,30.92,7,20400,193-2
6,20140107,2013,중구, 흥인동,	(91)	,24.82,10,16800,91
7,20140106,2013,중구, 황학동,한양 I-Class,19.05,3,13140,787
8,20140106,2013,중구, 황학동,한양 I-Class,19.05,3,13140,787
9,20140106,2013,중구, 황학동,한양 I-Class,19.05,3,13140,787
10,20140106,2013,중구, 황학동,한양 I-Class,19.05,3,13140,787
11,20140106,2013,중구, 황학동,한양 I-Class,19.05,3,13140,787
12,20140107,2013,중구, 황학동,한양 I-Class,19.05,9,13920,787
13,20140110,2004,중구, 황학동,올리브1,25.05,10,10900,808
14,20140113,2013,중구, 황학동,한양 I-Class,19.05,10,13590,787
15,20140124,2013,중구, 황학동,한양 I-Class,19.05,3,12800,787
16,20140128,2006,중구, 중림동,브라운스톤서울,68.04,17,35500,355
17,20140127,2005,중구, 만리동1가,서울역 디오빌,56.17,8,27000,62-7
0,20140120,2004,용산구, 서계동,서울역풍림아이원플러스,28.79,11,21000,219-17
1,20140103,2007,용산구, 문배동,이안용산프리미어,86.16,3,40000,3-3
2,20140107,2013,용산구, 문배동,용산큐브,17.46,12,15500,24-4
3,20140102,2005,용산구, 한강로1가,용산파크자이,28.46,11,21800,50-1
4,20140111,2005,용산구, 한강로1가,용산파크자이,33.46,12,24000,50-1
5,20140126,2005,용산구, 한강로1가,용산파크자이,39.03,9,26800,50-1
6,20140108,2005,용산구, 한강로2가,한강로벽산메가트리움,29.54,11,20150,2-8
7,20140109,2012,용산구, 한강로2가,위너스타워,30.26,7,22500,2-132
8,20140117,2005,용산구, 한강로2가,한강로벽산메가트리움,30.35,9,17000,2-8
9,20140120,2005,용산구, 한강로2가,한강로벽산메가트리움,32.15,4,19000,2-8
10,20140128,2005,용산구, 한강로2가,한강로벽산메가트리움,33.02,19,21300,2-8
11,20140123,2009,용산구, 용산동5가,파크타워,123.34,15,92000,24
12,20140102,2004,용산구, 한강로3가,한강대우트럼프월드3,49.66,17,30000,65-230
13,20140122,2004,용산구, 한강로3가,한강대우트럼프월드3,30.91,15,24300,65-230
0,20140103,2011,성동구, 하왕십리동,리오파크 오피스텔,23.88,6,14200,898-2
1,20140128,2005,성동구, 하왕십리동,동인 레반트 오피스텔,27.54,11,15350,903-3
2,20140121,1998,성동구, 도선동,신한넥스텔,19.63,5,7600,14
3,20140127,1998,성동구, 도선동,신한넥스텔,39.26,5,13300,14
4,20140121,2004,성동구, 행당동,성동샤르망,24.84,5,14400,192-29
5,20140102,2004,성동구, 옥수동,성원상떼뷰,29.54,12,17000,475
6,20140120,2004,성동구, 옥수동,성원상떼뷰,27.01,9,15500,475
7,20140122,2004,성동구, 옥수동,성원상떼뷰,28,11,16000,475
8,20140128,2004,성동구, 옥수동,성원상떼뷰,25.6,3,14400,475
9,20140102,2004,성동구, 성수동1가,Biz-Well 성수,20.69,10,11000,33-21
10,20140113,2005,성동구, 성수동1가,뚝섬리버빌,34.78,4,14300,13-117
11,20140120,2005,성동구, 성수동1가,뚝섬리버빌,26.02,5,12500,13-117
12,20140121,2004,성동구, 성수동1가,이에스에이리버하우스,39.15,8,22500,13-12
13,20140124,2005,성동구, 성수동1가,뚝섬리버빌,33.94,4,14577,13-117
14,20140124,2013,성동구, 성수동1가,서울숲오피스텔,44.16,3,24000,656-392
15,20140124,2005,성동구, 성수동1가,뚝섬리버빌,33.94,3,14095,13-117
16,20140125,2005,성동구, 성수동1가,뚝섬리버빌,29,5,13900,13-117
17,20140128,2013,성동구, 성수동1가,서울숲오피스텔,44.16,2,25000,656-392
18,20140128,2013,성동구, 성수동1가,서울숲오피스텔,44.16,2,25000,656-392
19,20140128,2013,성동구, 성수동1가,서울숲오피스텔,44.16,5,25000,656-392
20,20140103,2013,성동구, 성수동2가,성수동램킨중흥S클래스오피스텔,18.33,5,15190,277-101
21,20140103,2013,성동구, 성수동2가,성수동램킨중흥S클래스오피스텔,18.33,5,15190,277-101
22,20140120,1998,성동구, 성수동2가,성수아카데미타워,33.45,10,13400,277-17
23,20140122,1998,성동구, 성수동2가,성수아카데미타워,33.45,13,13500,277-17
24,20140124,2013,성동구, 성수동2가,성수동램킨중흥S클래스오피스텔,18.33,4,15490,277-101
25,20140124,2013,성동구, 성수동2가,성수동램킨중흥S클래스오피스텔,18.33,3,14960,277-101
26,20140125,2003,성동구, 성수동2가,성원상떼뷰오피스텔,28.08,7,12500,277-37
27,20140125,2003,성동구, 성수동2가,성원상떼뷰오피스텔,28.08,5,12200,277-37
28,20140127,2013,성동구, 성수동2가,성수동램킨중흥S클래스오피스텔,18.33,5,15190,277-101
29,20140128,1998,성동구, 성수동2가,성수아카데미타워,33.45,10,11000,277-17
30,20140128,2013,성동구, 성수동2가,성수동램킨중흥S클래스오피스텔,18.33,8,15410,277-101
31,20140102,2006,성동구, 용답동,신창비바패밀리,65.95,5,22800,232-1
32,20140102,1991,성동구, 용답동,삼호오피스텔,23.41,8,4300,236-5
33,20140103,1991,성동구, 용답동,삼호오피스텔,26.25,7,4700,236-5
34,20140113,1991,성동구, 용답동,삼호오피스텔,26.25,8,5000,236-5
35,20140121,2006,성동구, 용답동,신창비바패밀리,56.17,3,20200,232-1
36,20140123,1991,성동구, 용답동,삼호오피스텔,26.25,8,4600,236-5
0,20140103,2003,광진구, 구의동,센트럴빌,41.29,3,15600,253-19
1,20140104,2006,광진구, 구의동,크레신타워3차,25.35,8,15900,246-14
2,20140115,2003,광진구, 구의동,센트럴빌,32.19,3,13100,253-19
3,20140120,2003,광진구, 구의동,신도브래뉴오피스텔,31.2,4,14000,251-34
4,20140120,2003,광진구, 구의동,센트럴빌,32.19,4,14000,253-19
5,20140125,2002,광진구, 구의동,다성리버텔,33.97,4,18500,218-12
6,20140102,1993,광진구, 광장동,리버힐오피스텔,62.8,9,25000,127
7,20140107,1991,광진구, 광장동,현대골든텔(102-0),26.73,11,14000,102
8,20140107,2003,광진구, 광장동,효성리버카운티,28.88,6,13500,108
9,20140108,2011,광진구, 광장동,주성아우라 오피스텔,29.83,1,16000,120
10,20140108,2011,광진구, 광장동,주성아우라 오피스텔,29.83,1,16000,120
11,20140108,2011,광진구, 광장동,주성아우라 오피스텔,29.83,3,16000,120
12,20140118,1991,광진구, 광장동,현대골든텔(102-0),26.73,5,10100,102
13,20140111,2002,광진구, 자양동,대양리버빌,70.47,3,29600,601-3
14,20140127,2004,광진구, 자양동,제이원하이텔,23.94,4,11000,608-21
15,20140102,2006,광진구, 화양동,한림타워,30.3,7,20000,7-3
16,20140108,2005,광진구, 화양동,KCC파크타운,25.79,12,16900,527
17,20140109,2006,광진구, 화양동,한림타워,33.1,9,21000,7-3
18,20140110,2006,광진구, 화양동,한림타워,30.3,13,20300,7-3
19,20140110,2013,광진구, 화양동,케이타워 오피스텔 B,18.85,8,12510,21-22
20,20140111,2013,광진구, 화양동,케이타워 오피스텔 A,19.93,2,12440,21-23
21,20140113,2013,광진구, 화양동,케이타워 오피스텔 B,18.85,2,12500,21-22
22,20140115,2013,광진구, 화양동,케이타워 오피스텔 B,18.85,12,12570,21-22
23,20140116,2005,광진구, 화양동,KCC파크타운,32.16,3,17800,527
24,20140121,2004,광진구, 화양동,캠퍼니안,57.66,10,19000,93-3
25,20140121,2013,광진구, 화양동,케이타워 오피스텔 B,18.85,11,12570,21-22
26,20140126,2013,광진구, 화양동,케이타워 오피스텔 B,18.85,10,12510,21-22
0,20140115,2004,동대문구, 신설동,동광동대문베르빌,28.31,5,14400,97-8
1,20140122,2004,동대문구, 신설동,동광동대문베르빌,28.31,14,13800,97-8
2,20140122,2004,동대문구, 신설동,드림빌리지 오피스텔,33.12,5,13500,117-14
3,20140103,2005,동대문구, 용두동,동의보감타워,36.02,9,14700,787
4,20140107,1998,동대문구, 용두동,두산베어스타워,33.52,7,9800,138-41
5,20140125,2006,동대문구, 용두동,한방천하-용두동 포스빌,39.02,17,16000,788
6,20140125,2004,동대문구, 용두동,신설동역대우아이빌(236-1),30.29,5,13000,236-1
7,20140128,2004,동대문구, 제기동,재경포항학사,16.82,3,9000,1153-16
8,20140128,2004,동대문구, 제기동,재경포항학사,16.82,3,9000,1153-16
9,20140128,2004,동대문구, 제기동,재경포항학사,16.82,3,9000,1153-16
10,20140128,2004,동대문구, 제기동,재경포항학사,16.82,3,9000,1153-16
11,20140128,2004,동대문구, 제기동,재경포항학사,16.82,3,9000,1153-16
12,20140128,2004,동대문구, 제기동,재경포항학사,16.82,3,9000,1153-16
13,20140128,2004,동대문구, 제기동,재경포항학사,16.82,3,9000,1153-16
14,20140128,2004,동대문구, 제기동,재경포항학사,16.82,3,9000,1153-16
15,20140128,2004,동대문구, 제기동,재경포항학사,16.82,3,9000,1153-16
16,20140128,2004,동대문구, 제기동,재경포항학사,16.82,3,9000,1153-16
17,20140128,2004,동대문구, 제기동,재경포항학사,16.82,3,9000,1153-16
18,20140128,2004,동대문구, 제기동,재경포항학사,16.82,3,9000,1153-16
19,20140128,2004,동대문구, 제기동,재경포항학사,16.82,3,9000,1153-16
20,20140128,2004,동대문구, 제기동,재경포항학사,16.82,4,9000,1153-16
21,20140128,2004,동대문구, 제기동,재경포항학사,16.82,4,9000,1153-16
22,20140128,2004,동대문구, 제기동,재경포항학사,16.82,4,9000,1153-16
23,20140128,2004,동대문구, 제기동,재경포항학사,16.82,4,9000,1153-16
24,20140128,2004,동대문구, 제기동,재경포항학사,16.82,4,9000,1153-16
25,20140128,2004,동대문구, 제기동,재경포항학사,16.82,4,9000,1153-16
26,20140128,2004,동대문구, 제기동,재경포항학사,16.82,4,9000,1153-16
27,20140128,2004,동대문구, 제기동,재경포항학사,16.82,4,9000,1153-16
28,20140128,2004,동대문구, 제기동,재경포항학사,16.82,4,9000,1153-16
29,20140128,2004,동대문구, 제기동,재경포항학사,16.82,4,9000,1153-16
30,20140128,2004,동대문구, 제기동,재경포항학사,16.82,4,9000,1153-16
31,20140128,2004,동대문구, 제기동,재경포항학사,16.82,4,9000,1153-16
32,20140128,2004,동대문구, 제기동,재경포항학사,16.82,4,9000,1153-16
33,20140128,2004,동대문구, 제기동,재경포항학사,16.82,5,9000,1153-16
34,20140128,2004,동대문구, 제기동,재경포항학사,16.82,5,9000,1153-16
35,20140128,2004,동대문구, 제기동,재경포항학사,16.82,5,9000,1153-16
36,20140128,2004,동대문구, 제기동,재경포항학사,16.82,5,9000,1153-16
37,20140128,2004,동대문구, 제기동,재경포항학사,16.82,5,9000,1153-16
38,20140128,2004,동대문구, 제기동,재경포항학사,16.82,5,9000,1153-16
